source	destinations_disconnected_to
ACE	RSG1	ZNF43	MFSD5
KAPCA	RSG1	ZNF43	MFSD5
NTKL	RSG1	ZNF43	MFSD5
CALM	RSG1	ZNF43	MFSD5
ACHA4	RSG1	ZNF43	MFSD5
ANXA2	RSG1	ZNF43	MFSD5
AURKB	RSG1	ZNF43	MFSD5
GNAT3	RSG1	ZNF43	MFSD5
CA2D1	RSG1	ZNF43	MFSD5
CAH4	RSG1	ZNF43	MFSD5
AK1C1	RSG1	ZNF43	MFSD5
ROCK1	RSG1	ZNF43	MFSD5
CHLE	RSG1	ZNF43	MFSD5
J3QK85	RSG1	ZNF43	MFSD5
ZAP70	RSG1	ZNF43	MFSD5
UD14	RSG1	ZNF43	MFSD5
S12A2	RSG1	ZNF43	MFSD5
EST1A	RSG1	ZNF43	MFSD5
VKOR1	RSG1	ZNF43	MFSD5
XDH	RSG1	ZNF43	MFSD5
ACHB4	RSG1	ZNF43	MFSD5
RLP24	RSG1	ZNF43	MFSD5
EDN1	RSG1	ZNF43	MFSD5
GBRB3	RSG1	ZNF43	MFSD5
TKT	RSG1	ZNF43	MFSD5
NEU2	RSG1	ZNF43	MFSD5
3HAO	RSG1	ZNF43	MFSD5
RL10L	RSG1	ZNF43	MFSD5
ADA1D	RSG1	ZNF43	MFSD5
CANB2	RSG1	ZNF43	MFSD5
KAP3	RSG1	ZNF43	MFSD5
PANX1	RSG1	ZNF43	MFSD5
ST2A1	RSG1	ZNF43	MFSD5
UPP2	RSG1	ZNF43	MFSD5
AK1D1	RSG1	ZNF43	MFSD5
CAC1A	RSG1	ZNF43	MFSD5
CUBN	RSG1	ZNF43	MFSD5
THA	RSG1	ZNF43	MFSD5
TBB5	RSG1	ZNF43	MFSD5
CATA	RSG1	ZNF43	MFSD5
RL3	RSG1	ZNF43	MFSD5
PA2GE	RSG1	ZNF43	MFSD5
HRH2	RSG1	ZNF43	MFSD5
ATTY	RSG1	ZNF43	MFSD5
S29A2	RSG1	ZNF43	MFSD5
GBRT	RSG1	ZNF43	MFSD5
ACHA3	RSG1	ZNF43	MFSD5
CDK6	RSG1	ZNF43	MFSD5
5HT7R	RSG1	ZNF43	MFSD5
ADRB1	RSG1	ZNF43	MFSD5
CP11A	RSG1	ZNF43	MFSD5
CSK	RSG1	ZNF43	MFSD5
5HT3A	RSG1	ZNF43	MFSD5
AT12A	RSG1	ZNF43	MFSD5
IOD3	RSG1	ZNF43	MFSD5
PGFRA	RSG1	ZNF43	MFSD5
A1AG1	RSG1	ZNF43	MFSD5
TNFA	RSG1	ZNF43	MFSD5
NFAC2	RSG1	ZNF43	MFSD5
NOS2	RSG1	ZNF43	MFSD5
5HT2B	RSG1	ZNF43	MFSD5
HS90A	RSG1	ZNF43	MFSD5
LCK	RSG1	ZNF43	MFSD5
ADCYA	RSG1	ZNF43	MFSD5
HS90B	RSG1	ZNF43	MFSD5
ADA2A	RSG1	ZNF43	MFSD5
CACP	RSG1	ZNF43	MFSD5
RARA	RSG1	ZNF43	MFSD5
PYC	RSG1	ZNF43	MFSD5
CATL1	RSG1	ZNF43	MFSD5
ACHA9	RSG1	ZNF43	MFSD5
NH2L1	RSG1	ZNF43	MFSD5
AAKB2	RSG1	ZNF43	MFSD5
DCXR	RSG1	ZNF43	MFSD5
CXCL7	RSG1	ZNF43	MFSD5
KCNE1	RSG1	ZNF43	MFSD5
B3GT4	RSG1	ZNF43	MFSD5
ACES	RSG1	ZNF43	MFSD5
SCNNG	RSG1	ZNF43	MFSD5
HASP	RSG1	ZNF43	MFSD5
MMP3	RSG1	ZNF43	MFSD5
MET	RSG1	ZNF43	MFSD5
AA2BR	RSG1	ZNF43	MFSD5
PDE8A	RSG1	ZNF43	MFSD5
5HT2C	RSG1	ZNF43	MFSD5
AK1C3	RSG1	ZNF43	MFSD5
OSTCN	RSG1	ZNF43	MFSD5
NMD3B	RSG1	ZNF43	MFSD5
CDK5	RSG1	ZNF43	MFSD5
PPARA	RSG1	ZNF43	MFSD5
DRD2	RSG1	ZNF43	MFSD5
VGFR2	RSG1	ZNF43	MFSD5
CP1A2	RSG1	ZNF43	MFSD5
NGF	RSG1	ZNF43	MFSD5
GBRA6	RSG1	ZNF43	MFSD5
ACHA7	RSG1	ZNF43	MFSD5
CP2C9	RSG1	ZNF43	MFSD5
TBA1A	RSG1	ZNF43	MFSD5
IL2RA	RSG1	ZNF43	MFSD5
PPB1	RSG1	ZNF43	MFSD5
PD2R	RSG1	ZNF43	MFSD5
Q71TU5	RSG1	ZNF43	MFSD5
DCE1	RSG1	ZNF43	MFSD5
GBRG1	RSG1	ZNF43	MFSD5
FGFR2	RSG1	ZNF43	MFSD5
IMPA1	RSG1	ZNF43	MFSD5
ACM2	RSG1	ZNF43	MFSD5
IL8	RSG1	ZNF43	MFSD5
5HT6R	RSG1	ZNF43	MFSD5
KPCT	RSG1	ZNF43	MFSD5
AOC1	RSG1	ZNF43	MFSD5
PCNA	RSG1	ZNF43	MFSD5
KSYK	RSG1	ZNF43	MFSD5
CAH9	RSG1	ZNF43	MFSD5
RL11	RSG1	ZNF43	MFSD5
CACB3	RSG1	ZNF43	MFSD5
HMDH	RSG1	ZNF43	MFSD5
GBRA4	RSG1	ZNF43	MFSD5
KIT	RSG1	ZNF43	MFSD5
AOFA	RSG1	ZNF43	MFSD5
NEP	RSG1	ZNF43	MFSD5
GLYC	RSG1	ZNF43	MFSD5
NCOA2	RSG1	ZNF43	MFSD5
5HT1E	RSG1	ZNF43	MFSD5
TBA4A	RSG1	ZNF43	MFSD5
METH	RSG1	ZNF43	MFSD5
LDHA	RSG1	ZNF43	MFSD5
MK08	RSG1	ZNF43	MFSD5
IGHG4	RSG1	ZNF43	MFSD5
CP2CJ	RSG1	ZNF43	MFSD5
RXRA	RSG1	ZNF43	MFSD5
PA2GA	RSG1	ZNF43	MFSD5
CP131	RSG1	ZNF43	MFSD5
ACACB	RSG1	ZNF43	MFSD5
PTHY	RSG1	ZNF43	MFSD5
IL10	RSG1	ZNF43	MFSD5
CAH2	RSG1	ZNF43	MFSD5
OPRD	RSG1	ZNF43	MFSD5
AAPK1	RSG1	ZNF43	MFSD5
PDPK1	RSG1	ZNF43	MFSD5
ADRB3	RSG1	ZNF43	MFSD5
C11B1	RSG1	ZNF43	MFSD5
GBRP	RSG1	ZNF43	MFSD5
ROCK2	RSG1	ZNF43	MFSD5
RL8	RSG1	ZNF43	MFSD5
ADCY2	RSG1	ZNF43	MFSD5
PHOP2	RSG1	ZNF43	MFSD5
CAH12	RSG1	ZNF43	MFSD5
S10A4	RSG1	ZNF43	MFSD5
GRIK1	RSG1	ZNF43	MFSD5
CBG	RSG1	ZNF43	MFSD5
PRGR	RSG1	ZNF43	MFSD5
HCAR2	RSG1	ZNF43	MFSD5
DNMT1	RSG1	ZNF43	MFSD5
PGH2	RSG1	ZNF43	MFSD5
CAC1F	RSG1	ZNF43	MFSD5
ADA2C	RSG1	ZNF43	MFSD5
S15A1	RSG1	ZNF43	MFSD5
ADA1A	RSG1	ZNF43	MFSD5
A1AG2	RSG1	ZNF43	MFSD5
OX1R	RSG1	ZNF43	MFSD5
KCMA1	RSG1	ZNF43	MFSD5
NMDE3	RSG1	ZNF43	MFSD5
HIBCH	RSG1	ZNF43	MFSD5
IPKA	RSG1	ZNF43	MFSD5
S22AI	RSG1	ZNF43	MFSD5
S29A1	RSG1	ZNF43	MFSD5
HDAC1	RSG1	ZNF43	MFSD5
PNPH	RSG1	ZNF43	MFSD5
ADA2B	RSG1	ZNF43	MFSD5
TRFL	RSG1	ZNF43	MFSD5
ALBU	RSG1	ZNF43	MFSD5
FMO3	RSG1	ZNF43	MFSD5
PLK1	RSG1	ZNF43	MFSD5
SGMR1	RSG1	ZNF43	MFSD5
GUAA	RSG1	ZNF43	MFSD5
QOR	RSG1	ZNF43	MFSD5
GCR	RSG1	ZNF43	MFSD5
CATD	RSG1	ZNF43	MFSD5
MIF	RSG1	ZNF43	MFSD5
HPGDS	RSG1	ZNF43	MFSD5
MKNK1	RSG1	ZNF43	MFSD5
P2RY2	RSG1	ZNF43	MFSD5
S12A4	RSG1	ZNF43	MFSD5
EGFR	RSG1	ZNF43	MFSD5
NFKB1	RSG1	ZNF43	MFSD5
PGFRB	RSG1	ZNF43	MFSD5
