source	destinations_disconnected_to
HCN2	ULK4	RAI14
RL26L	ULK4	RAI14
DMTA2	ULK4	RAI14
6PGD	ULK4	RAI14
GRP78	ULK4	RAI14
PSIP1	ULK4	RAI14
AT1A4	ULK4	RAI14
GLR	ULK4	RAI14
OPRK	ULK4	RAI14
ATPB	ULK4	RAI14
STMN4	ULK4	RAI14
CACB2	ULK4	RAI14
NMDZ1	ULK4	RAI14
SC6A3	ULK4	RAI14
ST2B1	ULK4	RAI14
TBG1	ULK4	RAI14
ESR1	ULK4	RAI14
CREB1	ULK4	RAI14
5HT1B	ULK4	RAI14
ERBB2	ULK4	RAI14
HDAC7	ULK4	RAI14
KCC1B	ULK4	RAI14
TBD	ULK4	RAI14
TOP2B	ULK4	RAI14
3BHS1	ULK4	RAI14
ATP4A	ULK4	RAI14
LOX5	ULK4	RAI14
UD3A1	ULK4	RAI14
BDNF	ULK4	RAI14
GBRA1	ULK4	RAI14
FOS	ULK4	RAI14
SHBG	ULK4	RAI14
ODP2	ULK4	RAI14
ABCA1	ULK4	RAI14
DYR	ULK4	RAI14
P85A	ULK4	RAI14
SIR1	ULK4	RAI14
MTHR	ULK4	RAI14
ADCL2	ULK4	RAI14
IBP3	ULK4	RAI14
DDR1	ULK4	RAI14
CP46A	ULK4	RAI14
SCN2A	ULK4	RAI14
IL4	ULK4	RAI14
NPS	ULK4	RAI14
NMDE1	ULK4	RAI14
AOFB	ULK4	RAI14
RL13A	ULK4	RAI14
S22A2	ULK4	RAI14
CALY	ULK4	RAI14
S12A5	ULK4	RAI14
PK3CA	ULK4	RAI14
PDE4D	ULK4	RAI14
KIF11	ULK4	RAI14
NR1I2	ULK4	RAI14
NISCH	ULK4	RAI14
NFKB2	ULK4	RAI14
ITK	ULK4	RAI14
PPIA	ULK4	RAI14
MMAA	ULK4	RAI14
PA24A	ULK4	RAI14
HYES	ULK4	RAI14
CP2C8	ULK4	RAI14
CAC1D	ULK4	RAI14
SCNNA	ULK4	RAI14
DRD3	ULK4	RAI14
IOD1	ULK4	RAI14
AAKB1	ULK4	RAI14
ARY2	ULK4	RAI14
DOPO	ULK4	RAI14
PDE3A	ULK4	RAI14
TR10B	ULK4	RAI14
ADA1B	ULK4	RAI14
C9JK77	ULK4	RAI14
MYLK3	ULK4	RAI14
PDE1B	ULK4	RAI14
MYH9	ULK4	RAI14
TRI15	ULK4	RAI14
HPRT	ULK4	RAI14
ADRB2	ULK4	RAI14
LIPL	ULK4	RAI14
MDR1	ULK4	RAI14
5HT1A	ULK4	RAI14
CP19A	ULK4	RAI14
ARY1	ULK4	RAI14
5HT2A	ULK4	RAI14
G6PD	ULK4	RAI14
PYRD	ULK4	RAI14
GBRB2	ULK4	RAI14
IKBA	ULK4	RAI14
THRB	ULK4	RAI14
GPX1	ULK4	RAI14
TNNC2	ULK4	RAI14
S22AB	ULK4	RAI14
PDE5A	ULK4	RAI14
TGFB1	ULK4	RAI14
TOP2A	ULK4	RAI14
RL23	ULK4	RAI14
PDK3	ULK4	RAI14
EDNRA	ULK4	RAI14
TF65	ULK4	RAI14
KAP0	ULK4	RAI14
PPIF	ULK4	RAI14
RL15	ULK4	RAI14
KCNH2	ULK4	RAI14
PDE4C	ULK4	RAI14
ABCC8	ULK4	RAI14
J3KPA4	ULK4	RAI14
HDAC8	ULK4	RAI14
GBRD	ULK4	RAI14
CCKN	ULK4	RAI14
ADCY5	ULK4	RAI14
ATPA	ULK4	RAI14
ATPG	ULK4	RAI14
CAC1G	ULK4	RAI14
LDHB	ULK4	RAI14
JUN	ULK4	RAI14
CSF1R	ULK4	RAI14
UD19	ULK4	RAI14
