source	destinations_disconnected_to
HCN2	IFT46	REEP2
RL26L	IFT46	REEP2
DMTA2	IFT46	REEP2
6PGD	IFT46	REEP2
GRP78	IFT46	REEP2
PSIP1	IFT46	REEP2
AT1A4	IFT46	REEP2
GLR	IFT46	REEP2
OPRK	IFT46	REEP2
ATPB	IFT46	REEP2
STMN4	IFT46	REEP2
CACB2	IFT46	REEP2
NMDZ1	IFT46	REEP2
SC6A3	IFT46	REEP2
ST2B1	IFT46	REEP2
TBG1	IFT46	REEP2
ESR1	IFT46	REEP2
CREB1	IFT46	REEP2
5HT1B	IFT46	REEP2
ERBB2	IFT46	REEP2
HDAC7	IFT46	REEP2
KCC1B	IFT46	REEP2
TBD	IFT46	REEP2
TOP2B	IFT46	REEP2
3BHS1	IFT46	REEP2
ATP4A	IFT46	REEP2
LOX5	IFT46	REEP2
UD3A1	IFT46	REEP2
BDNF	IFT46	REEP2
GBRA1	IFT46	REEP2
FOS	IFT46	REEP2
SHBG	IFT46	REEP2
ODP2	IFT46	REEP2
ABCA1	IFT46	REEP2
DYR	IFT46	REEP2
P85A	IFT46	REEP2
SIR1	IFT46	REEP2
MTHR	IFT46	REEP2
ADCL2	IFT46	REEP2
IBP3	IFT46	REEP2
DDR1	IFT46	REEP2
CP46A	IFT46	REEP2
SCN2A	IFT46	REEP2
IL4	IFT46	REEP2
NPS	IFT46	REEP2
NMDE1	IFT46	REEP2
AOFB	IFT46	REEP2
RL13A	IFT46	REEP2
S22A2	IFT46	REEP2
CALY	IFT46	REEP2
S12A5	IFT46	REEP2
PK3CA	IFT46	REEP2
PDE4D	IFT46	REEP2
KIF11	IFT46	REEP2
NR1I2	IFT46	REEP2
NISCH	IFT46	REEP2
NFKB2	IFT46	REEP2
ITK	IFT46	REEP2
PPIA	IFT46	REEP2
MMAA	IFT46	REEP2
PA24A	IFT46	REEP2
HYES	IFT46	REEP2
CP2C8	IFT46	REEP2
CAC1D	IFT46	REEP2
SCNNA	IFT46	REEP2
DRD3	IFT46	REEP2
IOD1	IFT46	REEP2
AAKB1	IFT46	REEP2
ARY2	IFT46	REEP2
DOPO	IFT46	REEP2
PDE3A	IFT46	REEP2
TR10B	IFT46	REEP2
ADA1B	IFT46	REEP2
C9JK77	IFT46	REEP2
MYLK3	IFT46	REEP2
PDE1B	IFT46	REEP2
MYH9	IFT46	REEP2
TRI15	IFT46	REEP2
HPRT	IFT46	REEP2
ADRB2	IFT46	REEP2
LIPL	IFT46	REEP2
MDR1	IFT46	REEP2
5HT1A	IFT46	REEP2
CP19A	IFT46	REEP2
ARY1	IFT46	REEP2
5HT2A	IFT46	REEP2
G6PD	IFT46	REEP2
PYRD	IFT46	REEP2
GBRB2	IFT46	REEP2
IKBA	IFT46	REEP2
THRB	IFT46	REEP2
GPX1	IFT46	REEP2
TNNC2	IFT46	REEP2
S22AB	IFT46	REEP2
PDE5A	IFT46	REEP2
TGFB1	IFT46	REEP2
TOP2A	IFT46	REEP2
RL23	IFT46	REEP2
PDK3	IFT46	REEP2
EDNRA	IFT46	REEP2
TF65	IFT46	REEP2
KAP0	IFT46	REEP2
PPIF	IFT46	REEP2
RL15	IFT46	REEP2
KCNH2	IFT46	REEP2
PDE4C	IFT46	REEP2
ABCC8	IFT46	REEP2
J3KPA4	IFT46	REEP2
HDAC8	IFT46	REEP2
GBRD	IFT46	REEP2
CCKN	IFT46	REEP2
ADCY5	IFT46	REEP2
ATPA	IFT46	REEP2
ATPG	IFT46	REEP2
CAC1G	IFT46	REEP2
LDHB	IFT46	REEP2
JUN	IFT46	REEP2
CSF1R	IFT46	REEP2
UD19	IFT46	REEP2
ATF6A	IFT46	REEP2
RL19	IFT46	REEP2
ST17B	IFT46	REEP2
ABL1	IFT46	REEP2
PHOP1	IFT46	REEP2
SC6A4	IFT46	REEP2
S22A6	IFT46	REEP2
GRIK2	IFT46	REEP2
ACM3	IFT46	REEP2
RYR1	IFT46	REEP2
S23IP	IFT46	REEP2
CRBN	IFT46	REEP2
MUTA	IFT46	REEP2
ARGI1	IFT46	REEP2
AA3R	IFT46	REEP2
GBRA5	IFT46	REEP2
CAH6	IFT46	REEP2
FAK1	IFT46	REEP2
SCNND	IFT46	REEP2
CASP8	IFT46	REEP2
SYRC	IFT46	REEP2
CP3A4	IFT46	REEP2
A4	IFT46	REEP2
MRP1	IFT46	REEP2
KCNN4	IFT46	REEP2
PDE7A	IFT46	REEP2
SCN4A	IFT46	REEP2
CACB1	IFT46	REEP2
DHI1	IFT46	REEP2
PDIA1	IFT46	REEP2
LRP2	IFT46	REEP2
ESR2	IFT46	REEP2
