source	destinations_disconnected_to
ACE	TOR3A	ZMYM1
KAPCA	TOR3A	ZMYM1
NTKL	TOR3A	ZMYM1
CALM	TOR3A	ZMYM1
ACHA4	TOR3A	ZMYM1
ANXA2	TOR3A	ZMYM1
AURKB	TOR3A	ZMYM1
GNAT3	TOR3A	ZMYM1
CA2D1	TOR3A	ZMYM1
CAH4	TOR3A	ZMYM1
AK1C1	TOR3A	ZMYM1
ROCK1	TOR3A	ZMYM1
CHLE	TOR3A	ZMYM1
J3QK85	TOR3A	ZMYM1
ZAP70	TOR3A	ZMYM1
UD14	TOR3A	ZMYM1
S12A2	TOR3A	ZMYM1
EST1A	TOR3A	ZMYM1
VKOR1	TOR3A	ZMYM1
XDH	TOR3A	ZMYM1
ACHB4	TOR3A	ZMYM1
RLP24	TOR3A	ZMYM1
EDN1	TOR3A	ZMYM1
GBRB3	TOR3A	ZMYM1
TKT	TOR3A	ZMYM1
NEU2	TOR3A	ZMYM1
3HAO	TOR3A	ZMYM1
RL10L	TOR3A	ZMYM1
ADA1D	TOR3A	ZMYM1
CANB2	TOR3A	ZMYM1
KAP3	TOR3A	ZMYM1
PANX1	TOR3A	ZMYM1
ST2A1	TOR3A	ZMYM1
UPP2	TOR3A	ZMYM1
AK1D1	TOR3A	ZMYM1
CAC1A	TOR3A	ZMYM1
CUBN	TOR3A	ZMYM1
THA	TOR3A	ZMYM1
TBB5	TOR3A	ZMYM1
CATA	TOR3A	ZMYM1
RL3	TOR3A	ZMYM1
PA2GE	TOR3A	ZMYM1
HRH2	TOR3A	ZMYM1
ATTY	TOR3A	ZMYM1
S29A2	TOR3A	ZMYM1
GBRT	TOR3A	ZMYM1
ACHA3	TOR3A	ZMYM1
CDK6	TOR3A	ZMYM1
5HT7R	TOR3A	ZMYM1
ADRB1	TOR3A	ZMYM1
CP11A	TOR3A	ZMYM1
CSK	TOR3A	ZMYM1
5HT3A	TOR3A	ZMYM1
AT12A	TOR3A	ZMYM1
IOD3	TOR3A	ZMYM1
PGFRA	TOR3A	ZMYM1
A1AG1	TOR3A	ZMYM1
TNFA	TOR3A	ZMYM1
NFAC2	TOR3A	ZMYM1
NOS2	TOR3A	ZMYM1
5HT2B	TOR3A	ZMYM1
HS90A	TOR3A	ZMYM1
LCK	TOR3A	ZMYM1
ADCYA	TOR3A	ZMYM1
HS90B	TOR3A	ZMYM1
ADA2A	TOR3A	ZMYM1
CACP	TOR3A	ZMYM1
RARA	TOR3A	ZMYM1
PYC	TOR3A	ZMYM1
CATL1	TOR3A	ZMYM1
ACHA9	TOR3A	ZMYM1
NH2L1	TOR3A	ZMYM1
AAKB2	TOR3A	ZMYM1
DCXR	TOR3A	ZMYM1
CXCL7	TOR3A	ZMYM1
KCNE1	TOR3A	ZMYM1
B3GT4	TOR3A	ZMYM1
ACES	TOR3A	ZMYM1
SCNNG	TOR3A	ZMYM1
HASP	TOR3A	ZMYM1
MMP3	TOR3A	ZMYM1
MET	TOR3A	ZMYM1
AA2BR	TOR3A	ZMYM1
PDE8A	TOR3A	ZMYM1
5HT2C	TOR3A	ZMYM1
AK1C3	TOR3A	ZMYM1
OSTCN	TOR3A	ZMYM1
NMD3B	TOR3A	ZMYM1
CDK5	TOR3A	ZMYM1
PPARA	TOR3A	ZMYM1
DRD2	TOR3A	ZMYM1
VGFR2	TOR3A	ZMYM1
CP1A2	TOR3A	ZMYM1
NGF	TOR3A	ZMYM1
GBRA6	TOR3A	ZMYM1
ACHA7	TOR3A	ZMYM1
CP2C9	TOR3A	ZMYM1
TBA1A	TOR3A	ZMYM1
IL2RA	TOR3A	ZMYM1
PPB1	TOR3A	ZMYM1
PD2R	TOR3A	ZMYM1
Q71TU5	TOR3A	ZMYM1
DCE1	TOR3A	ZMYM1
GBRG1	TOR3A	ZMYM1
FGFR2	TOR3A	ZMYM1
IMPA1	TOR3A	ZMYM1
ACM2	TOR3A	ZMYM1
IL8	TOR3A	ZMYM1
5HT6R	TOR3A	ZMYM1
KPCT	TOR3A	ZMYM1
AOC1	TOR3A	ZMYM1
PCNA	TOR3A	ZMYM1
KSYK	TOR3A	ZMYM1
CAH9	TOR3A	ZMYM1
RL11	TOR3A	ZMYM1
CACB3	TOR3A	ZMYM1
HMDH	TOR3A	ZMYM1
GBRA4	TOR3A	ZMYM1
KIT	TOR3A	ZMYM1
AOFA	TOR3A	ZMYM1
NEP	TOR3A	ZMYM1
GLYC	TOR3A	ZMYM1
NCOA2	TOR3A	ZMYM1
5HT1E	TOR3A	ZMYM1
TBA4A	TOR3A	ZMYM1
METH	TOR3A	ZMYM1
LDHA	TOR3A	ZMYM1
MK08	TOR3A	ZMYM1
IGHG4	TOR3A	ZMYM1
CP2CJ	TOR3A	ZMYM1
RXRA	TOR3A	ZMYM1
PA2GA	TOR3A	ZMYM1
CP131	TOR3A	ZMYM1
ACACB	TOR3A	ZMYM1
PTHY	TOR3A	ZMYM1
IL10	TOR3A	ZMYM1
CAH2	TOR3A	ZMYM1
OPRD	TOR3A	ZMYM1
AAPK1	TOR3A	ZMYM1
PDPK1	TOR3A	ZMYM1
ADRB3	TOR3A	ZMYM1
C11B1	TOR3A	ZMYM1
GBRP	TOR3A	ZMYM1
ROCK2	TOR3A	ZMYM1
RL8	TOR3A	ZMYM1
ADCY2	TOR3A	ZMYM1
PHOP2	TOR3A	ZMYM1
CAH12	TOR3A	ZMYM1
S10A4	TOR3A	ZMYM1
GRIK1	TOR3A	ZMYM1
CBG	TOR3A	ZMYM1
PRGR	TOR3A	ZMYM1
HCAR2	TOR3A	ZMYM1
DNMT1	TOR3A	ZMYM1
PGH2	TOR3A	ZMYM1
CAC1F	TOR3A	ZMYM1
