source	destinations_disconnected_to
ACE	VN1R1	CTSL2	EFHD2	WDR52
KAPCA	VN1R1	CTSL2	EFHD2	WDR52
NTKL	VN1R1	CTSL2	EFHD2	WDR52
CALM	VN1R1	CTSL2	EFHD2	WDR52
ACHA4	VN1R1	CTSL2	EFHD2	WDR52
ANXA2	VN1R1	CTSL2	EFHD2	WDR52
AURKB	VN1R1	CTSL2	EFHD2	WDR52
GNAT3	VN1R1	CTSL2	EFHD2	WDR52
CA2D1	VN1R1	CTSL2	EFHD2	WDR52
CAH4	VN1R1	CTSL2	EFHD2	WDR52
AK1C1	VN1R1	CTSL2	EFHD2	WDR52
ROCK1	VN1R1	CTSL2	EFHD2	WDR52
CHLE	VN1R1	CTSL2	EFHD2	WDR52
J3QK85	VN1R1	CTSL2	EFHD2	WDR52
ZAP70	VN1R1	CTSL2	EFHD2	WDR52
UD14	VN1R1	CTSL2	EFHD2	WDR52
S12A2	VN1R1	CTSL2	EFHD2	WDR52
EST1A	VN1R1	CTSL2	EFHD2	WDR52
VKOR1	VN1R1	CTSL2	EFHD2	WDR52
XDH	VN1R1	CTSL2	EFHD2	WDR52
ACHB4	VN1R1	CTSL2	EFHD2	WDR52
RLP24	VN1R1	CTSL2	EFHD2	WDR52
EDN1	VN1R1	CTSL2	EFHD2	WDR52
GBRB3	VN1R1	CTSL2	EFHD2	WDR52
TKT	VN1R1	CTSL2	EFHD2	WDR52
NEU2	VN1R1	CTSL2	EFHD2	WDR52
3HAO	VN1R1	CTSL2	EFHD2	WDR52
RL10L	VN1R1	CTSL2	EFHD2	WDR52
ADA1D	VN1R1	CTSL2	EFHD2	WDR52
CANB2	VN1R1	CTSL2	EFHD2	WDR52
KAP3	VN1R1	CTSL2	EFHD2	WDR52
PANX1	VN1R1	CTSL2	EFHD2	WDR52
ST2A1	VN1R1	CTSL2	EFHD2	WDR52
UPP2	VN1R1	CTSL2	EFHD2	WDR52
AK1D1	VN1R1	CTSL2	EFHD2	WDR52
CAC1A	VN1R1	CTSL2	EFHD2	WDR52
CUBN	VN1R1	CTSL2	EFHD2	WDR52
THA	VN1R1	CTSL2	EFHD2	WDR52
TBB5	VN1R1	CTSL2	EFHD2	WDR52
CATA	VN1R1	CTSL2	EFHD2	WDR52
RL3	VN1R1	CTSL2	EFHD2	WDR52
PA2GE	VN1R1	CTSL2	EFHD2	WDR52
HRH2	VN1R1	CTSL2	EFHD2	WDR52
ATTY	VN1R1	CTSL2	EFHD2	WDR52
S29A2	VN1R1	CTSL2	EFHD2	WDR52
GBRT	VN1R1	CTSL2	EFHD2	WDR52
ACHA3	VN1R1	CTSL2	EFHD2	WDR52
CDK6	VN1R1	CTSL2	EFHD2	WDR52
5HT7R	VN1R1	CTSL2	EFHD2	WDR52
ADRB1	VN1R1	CTSL2	EFHD2	WDR52
CP11A	VN1R1	CTSL2	EFHD2	WDR52
CSK	VN1R1	CTSL2	EFHD2	WDR52
5HT3A	VN1R1	CTSL2	EFHD2	WDR52
AT12A	VN1R1	CTSL2	EFHD2	WDR52
IOD3	VN1R1	CTSL2	EFHD2	WDR52
PGFRA	VN1R1	CTSL2	EFHD2	WDR52
A1AG1	VN1R1	CTSL2	EFHD2	WDR52
TNFA	VN1R1	CTSL2	EFHD2	WDR52
NFAC2	VN1R1	CTSL2	EFHD2	WDR52
NOS2	VN1R1	CTSL2	EFHD2	WDR52
5HT2B	VN1R1	CTSL2	EFHD2	WDR52
HS90A	VN1R1	CTSL2	EFHD2	WDR52
LCK	VN1R1	CTSL2	EFHD2	WDR52
ADCYA	VN1R1	CTSL2	EFHD2	WDR52
HS90B	VN1R1	CTSL2	EFHD2	WDR52
ADA2A	VN1R1	CTSL2	EFHD2	WDR52
CACP	VN1R1	CTSL2	EFHD2	WDR52
RARA	VN1R1	CTSL2	EFHD2	WDR52
PYC	VN1R1	CTSL2	EFHD2	WDR52
CATL1	VN1R1	CTSL2	EFHD2	WDR52
ACHA9	VN1R1	CTSL2	EFHD2	WDR52
NH2L1	VN1R1	CTSL2	EFHD2	WDR52
AAKB2	VN1R1	CTSL2	EFHD2	WDR52
DCXR	VN1R1	CTSL2	EFHD2	WDR52
CXCL7	VN1R1	CTSL2	EFHD2	WDR52
KCNE1	VN1R1	CTSL2	EFHD2	WDR52
B3GT4	VN1R1	CTSL2	EFHD2	WDR52
ACES	VN1R1	CTSL2	EFHD2	WDR52
SCNNG	VN1R1	CTSL2	EFHD2	WDR52
HASP	VN1R1	CTSL2	EFHD2	WDR52
MMP3	VN1R1	CTSL2	EFHD2	WDR52
MET	VN1R1	CTSL2	EFHD2	WDR52
AA2BR	VN1R1	CTSL2	EFHD2	WDR52
PDE8A	VN1R1	CTSL2	EFHD2	WDR52
5HT2C	VN1R1	CTSL2	EFHD2	WDR52
AK1C3	VN1R1	CTSL2	EFHD2	WDR52
OSTCN	VN1R1	CTSL2	EFHD2	WDR52
NMD3B	VN1R1	CTSL2	EFHD2	WDR52
CDK5	VN1R1	CTSL2	EFHD2	WDR52
PPARA	VN1R1	CTSL2	EFHD2	WDR52
DRD2	VN1R1	CTSL2	EFHD2	WDR52
VGFR2	VN1R1	CTSL2	EFHD2	WDR52
CP1A2	VN1R1	CTSL2	EFHD2	WDR52
NGF	VN1R1	CTSL2	EFHD2	WDR52
GBRA6	VN1R1	CTSL2	EFHD2	WDR52
ACHA7	VN1R1	CTSL2	EFHD2	WDR52
CP2C9	VN1R1	CTSL2	EFHD2	WDR52
TBA1A	VN1R1	CTSL2	EFHD2	WDR52
IL2RA	VN1R1	CTSL2	EFHD2	WDR52
PPB1	VN1R1	CTSL2	EFHD2	WDR52
PD2R	VN1R1	CTSL2	EFHD2	WDR52
Q71TU5	VN1R1	CTSL2	EFHD2	WDR52
DCE1	VN1R1	CTSL2	EFHD2	WDR52
GBRG1	VN1R1	CTSL2	EFHD2	WDR52
FGFR2	VN1R1	CTSL2	EFHD2	WDR52
IMPA1	VN1R1	CTSL2	EFHD2	WDR52
ACM2	VN1R1	CTSL2	EFHD2	WDR52
IL8	VN1R1	CTSL2	EFHD2	WDR52
5HT6R	VN1R1	CTSL2	EFHD2	WDR52
KPCT	VN1R1	CTSL2	EFHD2	WDR52
