source	destinations_disconnected_to
ACE	PPDPF	SUSD4
KAPCA	PPDPF	SUSD4
NTKL	PPDPF	SUSD4
CALM	PPDPF	SUSD4
ACHA4	PPDPF	SUSD4
ANXA2	PPDPF	SUSD4
AURKB	PPDPF	SUSD4
GNAT3	PPDPF	SUSD4
CA2D1	PPDPF	SUSD4
CAH4	PPDPF	SUSD4
AK1C1	PPDPF	SUSD4
ROCK1	PPDPF	SUSD4
CHLE	PPDPF	SUSD4
J3QK85	PPDPF	SUSD4
ZAP70	PPDPF	SUSD4
UD14	PPDPF	SUSD4
S12A2	PPDPF	SUSD4
EST1A	PPDPF	SUSD4
VKOR1	PPDPF	SUSD4
XDH	PPDPF	SUSD4
ACHB4	PPDPF	SUSD4
RLP24	PPDPF	SUSD4
EDN1	PPDPF	SUSD4
GBRB3	PPDPF	SUSD4
TKT	PPDPF	SUSD4
NEU2	PPDPF	SUSD4
3HAO	PPDPF	SUSD4
RL10L	PPDPF	SUSD4
ADA1D	PPDPF	SUSD4
CANB2	PPDPF	SUSD4
KAP3	PPDPF	SUSD4
PANX1	PPDPF	SUSD4
ST2A1	PPDPF	SUSD4
UPP2	PPDPF	SUSD4
AK1D1	PPDPF	SUSD4
CAC1A	PPDPF	SUSD4
CUBN	PPDPF	SUSD4
THA	PPDPF	SUSD4
TBB5	PPDPF	SUSD4
CATA	PPDPF	SUSD4
RL3	PPDPF	SUSD4
PA2GE	PPDPF	SUSD4
HRH2	PPDPF	SUSD4
ATTY	PPDPF	SUSD4
S29A2	PPDPF	SUSD4
GBRT	PPDPF	SUSD4
ACHA3	PPDPF	SUSD4
CDK6	PPDPF	SUSD4
5HT7R	PPDPF	SUSD4
ADRB1	PPDPF	SUSD4
CP11A	PPDPF	SUSD4
CSK	PPDPF	SUSD4
5HT3A	PPDPF	SUSD4
AT12A	PPDPF	SUSD4
IOD3	PPDPF	SUSD4
PGFRA	PPDPF	SUSD4
A1AG1	PPDPF	SUSD4
TNFA	PPDPF	SUSD4
NFAC2	PPDPF	SUSD4
NOS2	PPDPF	SUSD4
5HT2B	PPDPF	SUSD4
HS90A	PPDPF	SUSD4
LCK	PPDPF	SUSD4
ADCYA	PPDPF	SUSD4
HS90B	PPDPF	SUSD4
ADA2A	PPDPF	SUSD4
CACP	PPDPF	SUSD4
RARA	PPDPF	SUSD4
PYC	PPDPF	SUSD4
CATL1	PPDPF	SUSD4
ACHA9	PPDPF	SUSD4
NH2L1	PPDPF	SUSD4
AAKB2	PPDPF	SUSD4
DCXR	PPDPF	SUSD4
CXCL7	PPDPF	SUSD4
KCNE1	PPDPF	SUSD4
B3GT4	PPDPF	SUSD4
ACES	PPDPF	SUSD4
SCNNG	PPDPF	SUSD4
HASP	PPDPF	SUSD4
MMP3	PPDPF	SUSD4
MET	PPDPF	SUSD4
AA2BR	PPDPF	SUSD4
PDE8A	PPDPF	SUSD4
5HT2C	PPDPF	SUSD4
AK1C3	PPDPF	SUSD4
OSTCN	PPDPF	SUSD4
NMD3B	PPDPF	SUSD4
CDK5	PPDPF	SUSD4
PPARA	PPDPF	SUSD4
DRD2	PPDPF	SUSD4
VGFR2	PPDPF	SUSD4
CP1A2	PPDPF	SUSD4
NGF	PPDPF	SUSD4
GBRA6	PPDPF	SUSD4
ACHA7	PPDPF	SUSD4
CP2C9	PPDPF	SUSD4
TBA1A	PPDPF	SUSD4
IL2RA	PPDPF	SUSD4
PPB1	PPDPF	SUSD4
PD2R	PPDPF	SUSD4
Q71TU5	PPDPF	SUSD4
DCE1	PPDPF	SUSD4
GBRG1	PPDPF	SUSD4
FGFR2	PPDPF	SUSD4
IMPA1	PPDPF	SUSD4
ACM2	PPDPF	SUSD4
IL8	PPDPF	SUSD4
5HT6R	PPDPF	SUSD4
KPCT	PPDPF	SUSD4
AOC1	PPDPF	SUSD4
PCNA	PPDPF	SUSD4
KSYK	PPDPF	SUSD4
CAH9	PPDPF	SUSD4
RL11	PPDPF	SUSD4
CACB3	PPDPF	SUSD4
HMDH	PPDPF	SUSD4
GBRA4	PPDPF	SUSD4
KIT	PPDPF	SUSD4
AOFA	PPDPF	SUSD4
NEP	PPDPF	SUSD4
GLYC	PPDPF	SUSD4
NCOA2	PPDPF	SUSD4
5HT1E	PPDPF	SUSD4
TBA4A	PPDPF	SUSD4
METH	PPDPF	SUSD4
LDHA	PPDPF	SUSD4
MK08	PPDPF	SUSD4
IGHG4	PPDPF	SUSD4
CP2CJ	PPDPF	SUSD4
RXRA	PPDPF	SUSD4
PA2GA	PPDPF	SUSD4
CP131	PPDPF	SUSD4
ACACB	PPDPF	SUSD4
PTHY	PPDPF	SUSD4
IL10	PPDPF	SUSD4
CAH2	PPDPF	SUSD4
OPRD	PPDPF	SUSD4
AAPK1	PPDPF	SUSD4
PDPK1	PPDPF	SUSD4
ADRB3	PPDPF	SUSD4
C11B1	PPDPF	SUSD4
GBRP	PPDPF	SUSD4
ROCK2	PPDPF	SUSD4
RL8	PPDPF	SUSD4
ADCY2	PPDPF	SUSD4
PHOP2	PPDPF	SUSD4
CAH12	PPDPF	SUSD4
S10A4	PPDPF	SUSD4
GRIK1	PPDPF	SUSD4
CBG	PPDPF	SUSD4
PRGR	PPDPF	SUSD4
HCAR2	PPDPF	SUSD4
DNMT1	PPDPF	SUSD4
PGH2	PPDPF	SUSD4
CAC1F	PPDPF	SUSD4
ADA2C	PPDPF	SUSD4
S15A1	PPDPF	SUSD4
ADA1A	PPDPF	SUSD4
A1AG2	PPDPF	SUSD4
OX1R	PPDPF	SUSD4
KCMA1	PPDPF	SUSD4
NMDE3	PPDPF	SUSD4
HIBCH	PPDPF	SUSD4
IPKA	PPDPF	SUSD4
S22AI	PPDPF	SUSD4
S29A1	PPDPF	SUSD4
HDAC1	PPDPF	SUSD4
PNPH	PPDPF	SUSD4
ADA2B	PPDPF	SUSD4
