source	destinations_disconnected_to
ACE	SUSD4
KAPCA	SUSD4
NTKL	SUSD4
CALM	SUSD4
ACHA4	SUSD4
ANXA2	SUSD4
AURKB	SUSD4
GNAT3	SUSD4
CA2D1	SUSD4
CAH4	SUSD4
AK1C1	SUSD4
ROCK1	SUSD4
CHLE	SUSD4
J3QK85	SUSD4
ZAP70	SUSD4
UD14	SUSD4
S12A2	SUSD4
EST1A	SUSD4
VKOR1	SUSD4
XDH	SUSD4
ACHB4	SUSD4
RLP24	SUSD4
EDN1	SUSD4
GBRB3	SUSD4
TKT	SUSD4
NEU2	SUSD4
3HAO	SUSD4
RL10L	SUSD4
ADA1D	SUSD4
CANB2	SUSD4
KAP3	SUSD4
PANX1	SUSD4
ST2A1	SUSD4
UPP2	SUSD4
AK1D1	SUSD4
CAC1A	SUSD4
CUBN	SUSD4
THA	SUSD4
TBB5	SUSD4
CATA	SUSD4
RL3	SUSD4
PA2GE	SUSD4
HRH2	SUSD4
ATTY	SUSD4
S29A2	SUSD4
GBRT	SUSD4
ACHA3	SUSD4
CDK6	SUSD4
5HT7R	SUSD4
ADRB1	SUSD4
CP11A	SUSD4
CSK	SUSD4
5HT3A	SUSD4
AT12A	SUSD4
IOD3	SUSD4
PGFRA	SUSD4
A1AG1	SUSD4
TNFA	SUSD4
NFAC2	SUSD4
NOS2	SUSD4
5HT2B	SUSD4
HS90A	SUSD4
LCK	SUSD4
ADCYA	SUSD4
HS90B	SUSD4
ADA2A	SUSD4
CACP	SUSD4
RARA	SUSD4
PYC	SUSD4
CATL1	SUSD4
ACHA9	SUSD4
NH2L1	SUSD4
AAKB2	SUSD4
DCXR	SUSD4
CXCL7	SUSD4
KCNE1	SUSD4
B3GT4	SUSD4
ACES	SUSD4
SCNNG	SUSD4
HASP	SUSD4
MMP3	SUSD4
MET	SUSD4
AA2BR	SUSD4
PDE8A	SUSD4
5HT2C	SUSD4
AK1C3	SUSD4
OSTCN	SUSD4
NMD3B	SUSD4
CDK5	SUSD4
PPARA	SUSD4
DRD2	SUSD4
VGFR2	SUSD4
CP1A2	SUSD4
NGF	SUSD4
GBRA6	SUSD4
ACHA7	SUSD4
CP2C9	SUSD4
TBA1A	SUSD4
IL2RA	SUSD4
PPB1	SUSD4
PD2R	SUSD4
Q71TU5	SUSD4
DCE1	SUSD4
GBRG1	SUSD4
FGFR2	SUSD4
IMPA1	SUSD4
ACM2	SUSD4
IL8	SUSD4
5HT6R	SUSD4
KPCT	SUSD4
AOC1	SUSD4
PCNA	SUSD4
KSYK	SUSD4
CAH9	SUSD4
RL11	SUSD4
CACB3	SUSD4
HMDH	SUSD4
GBRA4	SUSD4
KIT	SUSD4
AOFA	SUSD4
NEP	SUSD4
GLYC	SUSD4
NCOA2	SUSD4
5HT1E	SUSD4
TBA4A	SUSD4
METH	SUSD4
LDHA	SUSD4
MK08	SUSD4
IGHG4	SUSD4
CP2CJ	SUSD4
RXRA	SUSD4
PA2GA	SUSD4
CP131	SUSD4
ACACB	SUSD4
PTHY	SUSD4
IL10	SUSD4
CAH2	SUSD4
OPRD	SUSD4
AAPK1	SUSD4
PDPK1	SUSD4
ADRB3	SUSD4
C11B1	SUSD4
GBRP	SUSD4
ROCK2	SUSD4
RL8	SUSD4
ADCY2	SUSD4
PHOP2	SUSD4
CAH12	SUSD4
S10A4	SUSD4
GRIK1	SUSD4
CBG	SUSD4
PRGR	SUSD4
HCAR2	SUSD4
DNMT1	SUSD4
PGH2	SUSD4
CAC1F	SUSD4
ADA2C	SUSD4
S15A1	SUSD4
ADA1A	SUSD4
A1AG2	SUSD4
OX1R	SUSD4
KCMA1	SUSD4
NMDE3	SUSD4
HIBCH	SUSD4
IPKA	SUSD4
S22AI	SUSD4
S29A1	SUSD4
HDAC1	SUSD4
PNPH	SUSD4
ADA2B	SUSD4
TRFL	SUSD4
ALBU	SUSD4
FMO3	SUSD4
PLK1	SUSD4
SGMR1	SUSD4
GUAA	SUSD4
QOR	SUSD4
GCR	SUSD4
CATD	SUSD4
MIF	SUSD4
HPGDS	SUSD4
MKNK1	SUSD4
P2RY2	SUSD4
S12A4	SUSD4
EGFR	SUSD4
NFKB1	SUSD4
PGFRB	SUSD4
ANT3	SUSD4
GTR1	SUSD4
MK10	SUSD4
CAMLG	SUSD4
HEMH	SUSD4
MTRR	SUSD4
NQO1	SUSD4
ACH10	SUSD4
FMO4	SUSD4
DRD5	SUSD4
TRY1	SUSD4
SCNAA	SUSD4
GBRG3	SUSD4
PDE8B	SUSD4
KCNA2	SUSD4
IFNA2	SUSD4
AA1R	SUSD4
MAPK2	SUSD4
PK3CD	SUSD4
HRH4	SUSD4
GBRB1	SUSD4
HCN2	SUSD4
RL26L	SUSD4
DMTA2	SUSD4
6PGD	SUSD4
GRP78	SUSD4
PSIP1	SUSD4
AT1A4	SUSD4
GLR	SUSD4
OPRK	SUSD4
ATPB	SUSD4
STMN4	SUSD4
CACB2	SUSD4
NMDZ1	SUSD4
SC6A3	SUSD4
ST2B1	SUSD4
TBG1	SUSD4
ESR1	SUSD4
CREB1	SUSD4
5HT1B	SUSD4
ERBB2	SUSD4
HDAC7	SUSD4
KCC1B	SUSD4
TBD	SUSD4
TOP2B	SUSD4
3BHS1	SUSD4
ATP4A	SUSD4
LOX5	SUSD4
UD3A1	SUSD4
BDNF	SUSD4
GBRA1	SUSD4
FOS	SUSD4
SHBG	SUSD4
ODP2	SUSD4
ABCA1	SUSD4
DYR	SUSD4
P85A	SUSD4
SIR1	SUSD4
MTHR	SUSD4
ADCL2	SUSD4
IBP3	SUSD4
DDR1	SUSD4
CP46A	SUSD4
SCN2A	SUSD4
IL4	SUSD4
NPS	SUSD4
NMDE1	SUSD4
AOFB	SUSD4
RL13A	SUSD4
S22A2	SUSD4
CALY	SUSD4
S12A5	SUSD4
PK3CA	SUSD4
PDE4D	SUSD4
KIF11	SUSD4
NR1I2	SUSD4
NISCH	SUSD4
NFKB2	SUSD4
ITK	SUSD4
PPIA	SUSD4
MMAA	SUSD4
PA24A	SUSD4
HYES	SUSD4
CP2C8	SUSD4
CAC1D	SUSD4
SCNNA	SUSD4
DRD3	SUSD4
IOD1	SUSD4
AAKB1	SUSD4
ARY2	SUSD4
DOPO	SUSD4
PDE3A	SUSD4
TR10B	SUSD4
ADA1B	SUSD4
C9JK77	SUSD4
MYLK3	SUSD4
PDE1B	SUSD4
MYH9	SUSD4
TRI15	SUSD4
HPRT	SUSD4
ADRB2	SUSD4
LIPL	SUSD4
MDR1	SUSD4
5HT1A	SUSD4
CP19A	SUSD4
ARY1	SUSD4
5HT2A	SUSD4
G6PD	SUSD4
PYRD	SUSD4
GBRB2	SUSD4
IKBA	SUSD4
THRB	SUSD4
GPX1	SUSD4
TNNC2	SUSD4
S22AB	SUSD4
PDE5A	SUSD4
TGFB1	SUSD4
TOP2A	SUSD4
RL23	SUSD4
PDK3	SUSD4
EDNRA	SUSD4
TF65	SUSD4
KAP0	SUSD4
PPIF	SUSD4
RL15	SUSD4
KCNH2	SUSD4
PDE4C	SUSD4
ABCC8	SUSD4
J3KPA4	SUSD4
HDAC8	SUSD4
GBRD	SUSD4
CCKN	SUSD4
ADCY5	SUSD4
ATPA	SUSD4
ATPG	SUSD4
CAC1G	SUSD4
LDHB	SUSD4
JUN	SUSD4
CSF1R	SUSD4
UD19	SUSD4
ATF6A	SUSD4
RL19	SUSD4
ST17B	SUSD4
ABL1	SUSD4
PHOP1	SUSD4
SC6A4	SUSD4
S22A6	SUSD4
GRIK2	SUSD4
ACM3	SUSD4
RYR1	SUSD4
S23IP	SUSD4
CRBN	SUSD4
MUTA	SUSD4
ARGI1	SUSD4
AA3R	SUSD4
GBRA5	SUSD4
CAH6	SUSD4
FAK1	SUSD4
SCNND	SUSD4
CASP8	SUSD4
SYRC	SUSD4
CP3A4	SUSD4
A4	SUSD4
MRP1	SUSD4
KCNN4	SUSD4
PDE7A	SUSD4
SCN4A	SUSD4
CACB1	SUSD4
DHI1	SUSD4
PDIA1	SUSD4
LRP2	SUSD4
ESR2	SUSD4
SCNNB	SUSD4
NMDE4	SUSD4
TY3H	SUSD4
SOAT1	SUSD4
NMD3A	SUSD4
ASM	SUSD4
S12A1	SUSD4
CP1A1	SUSD4
INSR2	SUSD4
NCOA1	SUSD4
TBE	SUSD4
ITAL	SUSD4
PPARG	SUSD4
GSK3B	SUSD4
CAC1I	SUSD4
THB	SUSD4
KLK3	SUSD4
GBRA2	SUSD4
TBB4B	SUSD4
DRD4	SUSD4
CLIC1	SUSD4
GBRE	SUSD4
RHOA	SUSD4
TERT	SUSD4
RL23A	SUSD4
KITH	SUSD4
HIF1A	SUSD4
TEBP	SUSD4
PERM	SUSD4
TYSY	SUSD4
PAR10	SUSD4
NNMT	SUSD4
RARB	SUSD4
PK3CG	SUSD4
CAC1C	SUSD4
PLPL9	SUSD4
OPRM	SUSD4
PLMN	SUSD4
ADA	SUSD4
TNNC1	SUSD4
J3KN87	SUSD4
GBRG2	SUSD4
FAD1	SUSD4
PDE1A	SUSD4
GLUC	SUSD4
EST1	SUSD4
P2RX2	SUSD4
NOS3	SUSD4
GSTP1	SUSD4
CAH7	SUSD4
IL6	SUSD4
UD13	SUSD4
PDE4A	SUSD4
CBPB2	SUSD4
KCJ11	SUSD4
SCN5A	SUSD4
CP21A	SUSD4
CFTR	SUSD4
ACM1	SUSD4
GRIA2	SUSD4
CPT2	SUSD4
COMT	SUSD4
P53	SUSD4
CNGA1	SUSD4
HDAC9	SUSD4
KCNQ1	SUSD4
PGH1	SUSD4
CP2R1	SUSD4
CAC1H	SUSD4
CAB45	SUSD4
CDK2	SUSD4
SC6A2	SUSD4
AK1C2	SUSD4
CA2D2	SUSD4
S22A8	SUSD4
EBP	SUSD4
NADC	SUSD4
5HT5A	SUSD4
AHR	SUSD4
HDAC6	SUSD4
MRP2	SUSD4
PDE4B	SUSD4
AA2AR	SUSD4
PDE7B	SUSD4
FAK2	SUSD4
CASP3	SUSD4
CATB	SUSD4
CAC1S	SUSD4
TA2R	SUSD4
TPMT	SUSD4
5HT1D	SUSD4
PIM1	SUSD4
AT1A1	SUSD4
MMP9	SUSD4
