source	dest	edges	cum_dist	avg_dist_per_edge
ACE	RAB25	4	0.665	0.16625
ACE	NUDT9	4	0.278	0.0695
ACE	KCNE2	6	0.213	0.0355
ACE	HLTF	4	0.195	0.04875
ACE	ASB7	6	0.691	0.115166666666667
ACE	IFIT1	3	0.118	0.0393333333333333
ACE	TGM1	6	0.261	0.0435
ACE	PBX2	3	0.246	0.082
ACE	BANK1	6	0.679	0.113166666666667
ACE	SMPX	3	0.528	0.176
ACE	ITK	4	0.609	0.15225
ACE	NSUN7	6	0.958	0.159666666666667
ACE	AP4M1	4	0.32	0.08
ACE	CCNB2	3	0.449	0.149666666666667
ACE	GCNT4	5	0.293	0.0586
ACE	DPH2	4	0.375	0.09375
ACE	HDAC3	3	0.385	0.128333333333333
KAPCA	RAB25	7	0.627	0.0895714285714286
KAPCA	NUDT9	5	0.279	0.0558
KAPCA	KCNE2	2	0.094	0.047
KAPCA	HLTF	3	0.152	0.0506666666666667
KAPCA	ASB7	8	0.642	0.08025
KAPCA	IFIT1	5	0.092	0.0184
KAPCA	TGM1	5	0.218	0.0436
KAPCA	PBX2	6	0.256	0.0426666666666667
KAPCA	BANK1	6	0.601	0.100166666666667
KAPCA	SMPX	5	0.863	0.1726
KAPCA	ITK	5	0.721	0.1442
KAPCA	NSUN7	6	0.88	0.146666666666667
KAPCA	AP4M1	5	0.247	0.0494
KAPCA	CCNB2	3	0.362	0.120666666666667
KAPCA	GCNT4	6	0.22	0.0366666666666667
KAPCA	DPH2	6	0.326	0.0543333333333333
KAPCA	HDAC3	2	0.188	0.094
NTKL	RAB25	4	0.565	0.14125
NTKL	NUDT9	6	0.448	0.0746666666666667
NTKL	KCNE2	6	0.347	0.0578333333333333
NTKL	HLTF	4	0.321	0.08025
NTKL	ASB7	9	0.773	0.0858888888888889
NTKL	IFIT1	4	0.215	0.05375
NTKL	TGM1	8	0.384	0.048
NTKL	PBX2	5	0.379	0.0758
NTKL	BANK1	4	0.608	0.152
NTKL	SMPX	8	0.856	0.107
NTKL	ITK	4	0.32	0.08
NTKL	NSUN7	7	1.011	0.144428571428571
NTKL	AP4M1	2	0.193	0.0965
NTKL	CCNB2	4	0.603	0.15075
NTKL	GCNT4	5	0.343	0.0686
NTKL	DPH2	7	0.455	0.065
NTKL	HDAC3	5	0.356	0.0712
CALM	RAB25	4	0.533	0.13325
CALM	NUDT9	7	0.26	0.0371428571428571
CALM	KCNE2	2	0.138	0.069
CALM	HLTF	3	0.166	0.0553333333333333
CALM	ASB7	8	0.62	0.0775
CALM	IFIT1	4	0.088	0.022
CALM	TGM1	5	0.215	0.043
CALM	PBX2	4	0.242	0.0605
CALM	BANK1	6	0.765	0.1275
CALM	SMPX	4	0.647	0.16175
CALM	ITK	4	0.351	0.08775
CALM	NSUN7	8	0.866	0.10825
CALM	AP4M1	3	0.25	0.0833333333333333
CALM	CCNB2	2	0.368	0.184
CALM	GCNT4	4	0.223	0.05575
CALM	DPH2	4	0.286	0.0715
CALM	HDAC3	1	0.08	0.08
ACHA4	RAB25	4	0.722	0.1805
ACHA4	NUDT9	6	0.82	0.136666666666667
ACHA4	KCNE2	4	0.316	0.079
ACHA4	HLTF	5	0.276	0.0552
ACHA4	ASB7	7	0.769	0.109857142857143
ACHA4	IFIT1	4	0.172	0.043
ACHA4	TGM1	7	0.342	0.0488571428571429
ACHA4	PBX2	5	0.357	0.0714
ACHA4	BANK1	5	0.701	0.1402
ACHA4	SMPX	4	0.692	0.173
ACHA4	ITK	5	0.769	0.1538
ACHA4	NSUN7	5	0.98	0.196
ACHA4	AP4M1	4	0.404	0.101
ACHA4	CCNB2	4	0.46	0.115
ACHA4	GCNT4	4	0.314	0.0785
ACHA4	DPH2	5	0.453	0.0906
ACHA4	HDAC3	5	0.446	0.0892
ANXA2	RAB25	4	0.645	0.16125
ANXA2	NUDT9	5	0.755	0.151
ANXA2	KCNE2	3	0.213	0.071
ANXA2	HLTF	4	0.19	0.0475
ANXA2	ASB7	6	0.634	0.105666666666667
ANXA2	IFIT1	6	0.124	0.0206666666666667
ANXA2	TGM1	6	0.256	0.0426666666666667
ANXA2	PBX2	4	0.315	0.07875
ANXA2	BANK1	4	0.822	0.2055
ANXA2	SMPX	6	0.944	0.157333333333333
ANXA2	ITK	2	0.408	0.204
ANXA2	NSUN7	6	0.956	0.159333333333333
ANXA2	AP4M1	4	0.46	0.115
ANXA2	CCNB2	2	0.477	0.2385
ANXA2	GCNT4	3	0.411	0.137
ANXA2	DPH2	4	0.318	0.0795
ANXA2	HDAC3	4	0.47	0.1175
AURKB	RAB25	10	0.705	0.0705
AURKB	NUDT9	10	0.741	0.0741
AURKB	KCNE2	5	0.171	0.0342
AURKB	HLTF	2	0.124	0.062
AURKB	ASB7	7	0.594	0.0848571428571429
AURKB	IFIT1	4	0.077	0.01925
AURKB	TGM1	4	0.189	0.04725
AURKB	PBX2	5	0.275	0.055
AURKB	BANK1	6	0.946	0.157666666666667
AURKB	SMPX	5	0.904	0.1808
AURKB	ITK	4	0.532	0.133
AURKB	NSUN7	7	0.84	0.12
AURKB	AP4M1	8	0.325	0.040625
AURKB	CCNB2	2	0.031	0.0155
AURKB	GCNT4	9	0.298	0.0331111111111111
AURKB	DPH2	5	0.278	0.0556
AURKB	HDAC3	2	0.137	0.0685
GNAT3	RAB25	4	0.771	0.19275
GNAT3	NUDT9	7	0.881	0.125857142857143
GNAT3	KCNE2	5	0.311	0.0622
GNAT3	HLTF	6	0.322	0.0536666666666667
GNAT3	ASB7	5	0.857	0.1714
GNAT3	IFIT1	5	0.238	0.0476
GNAT3	TGM1	8	0.388	0.0485
GNAT3	PBX2	3	0.277	0.0923333333333333
GNAT3	BANK1	6	0.785	0.130833333333333
GNAT3	SMPX	7	0.943	0.134714285714286
GNAT3	ITK	8	0.929	0.116125
GNAT3	NSUN7	6	1.064	0.177333333333333
GNAT3	AP4M1	5	0.465	0.093
GNAT3	CCNB2	5	0.485	0.097
GNAT3	GCNT4	6	0.438	0.073
GNAT3	DPH2	6	0.563	0.0938333333333333
GNAT3	HDAC3	6	0.874	0.145666666666667
CA2D1	RAB25	8	0.827	0.103375
CA2D1	NUDT9	8	0.482	0.06025
CA2D1	KCNE2	4	0.261	0.06525
CA2D1	HLTF	7	0.325	0.0464285714285714
CA2D1	ASB7	9	0.842	0.0935555555555556
CA2D1	IFIT1	9	0.239	0.0265555555555556
CA2D1	TGM1	9	0.386	0.0428888888888889
CA2D1	PBX2	5	0.405	0.081
CA2D1	BANK1	6	0.983	0.163833333333333
CA2D1	SMPX	4	0.732	0.183
CA2D1	ITK	6	0.921	0.1535
CA2D1	NSUN7	7	1.08	0.154285714285714
CA2D1	AP4M1	2	0.409	0.2045
CA2D1	CCNB2	4	0.562	0.1405
CA2D1	GCNT4	7	0.42	0.06
CA2D1	DPH2	7	0.526	0.0751428571428572
CA2D1	HDAC3	3	0.388	0.129333333333333
CAH4	RAB25	6	0.897	0.1495
CAH4	NUDT9	7	0.872	0.124571428571429
CAH4	KCNE2	5	0.355	0.071
CAH4	HLTF	5	0.336	0.0672
CAH4	ASB7	7	0.832	0.118857142857143
CAH4	IFIT1	7	0.27	0.0385714285714286
CAH4	TGM1	7	0.402	0.0574285714285714
CAH4	PBX2	4	0.387	0.09675
CAH4	BANK1	5	0.858	0.1716
CAH4	SMPX	5	0.881	0.1762
CAH4	ITK	6	0.797	0.132833333333333
CAH4	NSUN7	5	1.137	0.2274
CAH4	AP4M1	5	0.53	0.106
CAH4	CCNB2	5	0.649	0.1298
CAH4	GCNT4	6	0.503	0.0838333333333333
CAH4	DPH2	5	0.516	0.1032
CAH4	HDAC3	4	0.42	0.105
AK1C1	RAB25	9	0.713	0.0792222222222222
AK1C1	NUDT9	6	0.557	0.0928333333333333
AK1C1	KCNE2	5	0.324	0.0648
AK1C1	HLTF	5	0.29	0.058
AK1C1	ASB7	8	0.97	0.12125
AK1C1	IFIT1	5	0.221	0.0442
AK1C1	TGM1	7	0.356	0.0508571428571429
AK1C1	PBX2	3	0.271	0.0903333333333333
AK1C1	BANK1	7	0.79	0.112857142857143
AK1C1	SMPX	7	0.813	0.116142857142857
AK1C1	ITK	6	0.858	0.143
AK1C1	NSUN7	7	1.284	0.183428571428571
AK1C1	AP4M1	5	0.727	0.1454
AK1C1	CCNB2	7	0.942	0.134571428571429
AK1C1	GCNT4	4	0.856	0.214
AK1C1	DPH2	6	0.654	0.109
AK1C1	HDAC3	8	0.92	0.115
ROCK1	RAB25	4	0.676	0.169
ROCK1	NUDT9	6	0.753	0.1255
ROCK1	KCNE2	7	0.315	0.045
ROCK1	HLTF	4	0.268	0.067
ROCK1	ASB7	3	0.821	0.273666666666667
ROCK1	IFIT1	6	0.221	0.0368333333333333
ROCK1	TGM1	4	0.272	0.068
ROCK1	PBX2	5	0.483	0.0966
ROCK1	BANK1	6	0.908	0.151333333333333
ROCK1	SMPX	6	0.928	0.154666666666667
ROCK1	ITK	4	0.494	0.1235
ROCK1	NSUN7	9	1.107	0.123
ROCK1	AP4M1	5	0.5	0.1
ROCK1	CCNB2	3	0.66	0.22
ROCK1	GCNT4	6	0.473	0.0788333333333333
ROCK1	DPH2	5	0.526	0.1052
ROCK1	HDAC3	4	0.454	0.1135
CHLE	RAB25	6	0.662	0.110333333333333
CHLE	NUDT9	7	0.283	0.0404285714285714
CHLE	KCNE2	6	0.232	0.0386666666666667
CHLE	HLTF	6	0.199	0.0331666666666667
CHLE	ASB7	8	0.643	0.080375
CHLE	IFIT1	4	0.111	0.02775
CHLE	TGM1	5	0.238	0.0476
CHLE	PBX2	4	0.265	0.06625
CHLE	BANK1	8	0.61	0.07625
CHLE	SMPX	5	0.71	0.142
CHLE	ITK	5	0.716	0.1432
CHLE	NSUN7	8	0.889	0.111125
CHLE	AP4M1	4	0.282	0.0705
CHLE	CCNB2	4	0.327	0.08175
CHLE	GCNT4	5	0.255	0.051
CHLE	DPH2	4	0.309	0.07725
CHLE	HDAC3	3	0.236	0.0786666666666667
J3QK85	RAB25	3	0.643	0.214333333333333
J3QK85	NUDT9	5	0.296	0.0592
J3QK85	KCNE2	3	0.165	0.055
J3QK85	HLTF	4	0.212	0.053
J3QK85	ASB7	6	0.656	0.109333333333333
J3QK85	IFIT1	5	0.14	0.028
J3QK85	TGM1	6	0.278	0.0463333333333333
J3QK85	PBX2	5	0.302	0.0604
J3QK85	BANK1	5	0.636	0.1272
J3QK85	SMPX	5	0.792	0.1584
J3QK85	ITK	5	0.618	0.1236
J3QK85	NSUN7	5	0.915	0.183
J3QK85	AP4M1	5	0.304	0.0608
J3QK85	CCNB2	6	0.521	0.0868333333333333
J3QK85	GCNT4	5	0.272	0.0544
J3QK85	DPH2	4	0.34	0.085
J3QK85	HDAC3	4	0.269	0.06725
ZAP70	RAB25	4	0.528	0.132
ZAP70	NUDT9	8	0.699	0.087375
ZAP70	KCNE2	5	0.186	0.0372
ZAP70	HLTF	4	0.171	0.04275
ZAP70	ASB7	5	0.732	0.1464
ZAP70	IFIT1	4	0.066	0.0165
ZAP70	TGM1	6	0.237	0.0395
ZAP70	PBX2	8	0.302	0.03775
ZAP70	BANK1	2	0.416	0.208
ZAP70	SMPX	8	0.874	0.10925
ZAP70	ITK	1	0.064	0.064
ZAP70	NSUN7	6	0.859	0.143166666666667
ZAP70	AP4M1	4	0.352	0.088
ZAP70	CCNB2	5	0.462	0.0924
ZAP70	GCNT4	5	0.325	0.065
ZAP70	DPH2	7	0.438	0.0625714285714286
ZAP70	HDAC3	4	0.307	0.07675
UD14	RAB25	5	0.677	0.1354
UD14	NUDT9	7	0.886	0.126571428571429
UD14	KCNE2	5	0.287	0.0574
UD14	HLTF	5	0.253	0.0506
UD14	ASB7	8	0.767	0.095875
UD14	IFIT1	5	0.184	0.0368
UD14	TGM1	7	0.319	0.0455714285714286
UD14	PBX2	3	0.19	0.0633333333333333
UD14	BANK1	5	0.699	0.1398
UD14	SMPX	11	0.979	0.089
UD14	ITK	7	0.968	0.138285714285714
UD14	NSUN7	9	1.06	0.117777777777778
UD14	AP4M1	5	0.482	0.0964
UD14	CCNB2	5	0.404	0.0808
UD14	GCNT4	6	0.455	0.0758333333333333
UD14	DPH2	6	0.451	0.0751666666666667
UD14	HDAC3	3	0.819	0.273
S12A2	RAB25	4	0.774	0.1935
S12A2	NUDT9	5	0.404	0.0808
S12A2	KCNE2	2	0.183	0.0915
S12A2	HLTF	4	0.32	0.08
S12A2	ASB7	6	0.764	0.127333333333333
