source	destinations_disconnected_to
EGFR	TSSK2	PTCD2
NFKB1	TSSK2	PTCD2
PGFRB	TSSK2	PTCD2
ANT3	TSSK2	PTCD2
GTR1	TSSK2	PTCD2
MK10	TSSK2	PTCD2
CAMLG	TSSK2	PTCD2
HEMH	TSSK2	PTCD2
MTRR	TSSK2	PTCD2
NQO1	TSSK2	PTCD2
ACH10	TSSK2	PTCD2
FMO4	TSSK2	PTCD2
DRD5	TSSK2	PTCD2
TRY1	TSSK2	PTCD2
SCNAA	TSSK2	PTCD2
GBRG3	TSSK2	PTCD2
PDE8B	TSSK2	PTCD2
KCNA2	TSSK2	PTCD2
IFNA2	TSSK2	PTCD2
AA1R	TSSK2	PTCD2
MAPK2	TSSK2	PTCD2
PK3CD	TSSK2	PTCD2
HRH4	TSSK2	PTCD2
GBRB1	TSSK2	PTCD2
HCN2	TSSK2	PTCD2
RL26L	TSSK2	PTCD2
DMTA2	TSSK2	PTCD2
6PGD	TSSK2	PTCD2
GRP78	TSSK2	PTCD2
PSIP1	TSSK2	PTCD2
AT1A4	TSSK2	PTCD2
GLR	TSSK2	PTCD2
OPRK	TSSK2	PTCD2
ATPB	TSSK2	PTCD2
STMN4	TSSK2	PTCD2
CACB2	TSSK2	PTCD2
NMDZ1	TSSK2	PTCD2
SC6A3	TSSK2	PTCD2
ST2B1	TSSK2	PTCD2
TBG1	TSSK2	PTCD2
ESR1	TSSK2	PTCD2
CREB1	TSSK2	PTCD2
5HT1B	TSSK2	PTCD2
ERBB2	TSSK2	PTCD2
HDAC7	TSSK2	PTCD2
KCC1B	TSSK2	PTCD2
TBD	TSSK2	PTCD2
TOP2B	TSSK2	PTCD2
3BHS1	TSSK2	PTCD2
ATP4A	TSSK2	PTCD2
LOX5	TSSK2	PTCD2
UD3A1	TSSK2	PTCD2
BDNF	TSSK2	PTCD2
GBRA1	TSSK2	PTCD2
FOS	TSSK2	PTCD2
SHBG	TSSK2	PTCD2
ODP2	TSSK2	PTCD2
ABCA1	TSSK2	PTCD2
DYR	TSSK2	PTCD2
P85A	TSSK2	PTCD2
SIR1	TSSK2	PTCD2
MTHR	TSSK2	PTCD2
ADCL2	TSSK2	PTCD2
IBP3	TSSK2	PTCD2
DDR1	TSSK2	PTCD2
CP46A	TSSK2	PTCD2
SCN2A	TSSK2	PTCD2
IL4	TSSK2	PTCD2
NPS	TSSK2	PTCD2
NMDE1	TSSK2	PTCD2
AOFB	TSSK2	PTCD2
RL13A	TSSK2	PTCD2
S22A2	TSSK2	PTCD2
CALY	TSSK2	PTCD2
S12A5	TSSK2	PTCD2
PK3CA	TSSK2	PTCD2
PDE4D	TSSK2	PTCD2
KIF11	TSSK2	PTCD2
NR1I2	TSSK2	PTCD2
NISCH	TSSK2	PTCD2
NFKB2	TSSK2	PTCD2
ITK	TSSK2	PTCD2
PPIA	TSSK2	PTCD2
MMAA	TSSK2	PTCD2
PA24A	TSSK2	PTCD2
HYES	TSSK2	PTCD2
CP2C8	TSSK2	PTCD2
CAC1D	TSSK2	PTCD2
SCNNA	TSSK2	PTCD2
DRD3	TSSK2	PTCD2
IOD1	TSSK2	PTCD2
AAKB1	TSSK2	PTCD2
ARY2	TSSK2	PTCD2
DOPO	TSSK2	PTCD2
PDE3A	TSSK2	PTCD2
TR10B	TSSK2	PTCD2
ADA1B	TSSK2	PTCD2
C9JK77	TSSK2	PTCD2
MYLK3	TSSK2	PTCD2
PDE1B	TSSK2	PTCD2
MYH9	TSSK2	PTCD2
TRI15	TSSK2	PTCD2
HPRT	TSSK2	PTCD2
ADRB2	TSSK2	PTCD2
LIPL	TSSK2	PTCD2
MDR1	TSSK2	PTCD2
5HT1A	TSSK2	PTCD2
CP19A	TSSK2	PTCD2
ARY1	TSSK2	PTCD2
5HT2A	TSSK2	PTCD2
G6PD	TSSK2	PTCD2
PYRD	TSSK2	PTCD2
GBRB2	TSSK2	PTCD2
IKBA	TSSK2	PTCD2
THRB	TSSK2	PTCD2
GPX1	TSSK2	PTCD2
TNNC2	TSSK2	PTCD2
S22AB	TSSK2	PTCD2
PDE5A	TSSK2	PTCD2
TGFB1	TSSK2	PTCD2
TOP2A	TSSK2	PTCD2
RL23	TSSK2	PTCD2
PDK3	TSSK2	PTCD2
EDNRA	TSSK2	PTCD2
TF65	TSSK2	PTCD2
KAP0	TSSK2	PTCD2
PPIF	TSSK2	PTCD2
RL15	TSSK2	PTCD2
KCNH2	TSSK2	PTCD2
PDE4C	TSSK2	PTCD2
ABCC8	TSSK2	PTCD2
J3KPA4	TSSK2	PTCD2
HDAC8	TSSK2	PTCD2
GBRD	TSSK2	PTCD2
CCKN	TSSK2	PTCD2
ADCY5	TSSK2	PTCD2
ATPA	TSSK2	PTCD2
ATPG	TSSK2	PTCD2
CAC1G	TSSK2	PTCD2
LDHB	TSSK2	PTCD2
JUN	TSSK2	PTCD2
CSF1R	TSSK2	PTCD2
UD19	TSSK2	PTCD2
ATF6A	TSSK2	PTCD2
RL19	TSSK2	PTCD2
ST17B	TSSK2	PTCD2
ABL1	TSSK2	PTCD2
PHOP1	TSSK2	PTCD2
SC6A4	TSSK2	PTCD2
S22A6	TSSK2	PTCD2
GRIK2	TSSK2	PTCD2
ACM3	TSSK2	PTCD2
RYR1	TSSK2	PTCD2
S23IP	TSSK2	PTCD2
CRBN	TSSK2	PTCD2
MUTA	TSSK2	PTCD2
ARGI1	TSSK2	PTCD2
AA3R	TSSK2	PTCD2
GBRA5	TSSK2	PTCD2
CAH6	TSSK2	PTCD2
FAK1	TSSK2	PTCD2
SCNND	TSSK2	PTCD2
