source	destinations_disconnected_to
DRD5	CEMP1	PALMD
TRY1	CEMP1	PALMD
SCNAA	CEMP1	PALMD
GBRG3	CEMP1	PALMD
PDE8B	CEMP1	PALMD
KCNA2	CEMP1	PALMD
IFNA2	CEMP1	PALMD
AA1R	CEMP1	PALMD
MAPK2	CEMP1	PALMD
PK3CD	CEMP1	PALMD
HRH4	CEMP1	PALMD
GBRB1	CEMP1	PALMD
HCN2	CEMP1	PALMD
RL26L	CEMP1	PALMD
DMTA2	CEMP1	PALMD
6PGD	CEMP1	PALMD
GRP78	CEMP1	PALMD
PSIP1	CEMP1	PALMD
AT1A4	CEMP1	PALMD
GLR	CEMP1	PALMD
OPRK	CEMP1	PALMD
ATPB	CEMP1	PALMD
STMN4	CEMP1	PALMD
CACB2	CEMP1	PALMD
NMDZ1	CEMP1	PALMD
SC6A3	CEMP1	PALMD
ST2B1	CEMP1	PALMD
TBG1	CEMP1	PALMD
ESR1	CEMP1	PALMD
CREB1	CEMP1	PALMD
5HT1B	CEMP1	PALMD
ERBB2	CEMP1	PALMD
HDAC7	CEMP1	PALMD
KCC1B	CEMP1	PALMD
TBD	CEMP1	PALMD
TOP2B	CEMP1	PALMD
3BHS1	CEMP1	PALMD
ATP4A	CEMP1	PALMD
LOX5	CEMP1	PALMD
UD3A1	CEMP1	PALMD
BDNF	CEMP1	PALMD
GBRA1	CEMP1	PALMD
FOS	CEMP1	PALMD
SHBG	CEMP1	PALMD
ODP2	CEMP1	PALMD
ABCA1	CEMP1	PALMD
DYR	CEMP1	PALMD
P85A	CEMP1	PALMD
SIR1	CEMP1	PALMD
MTHR	CEMP1	PALMD
ADCL2	CEMP1	PALMD
IBP3	CEMP1	PALMD
DDR1	CEMP1	PALMD
CP46A	CEMP1	PALMD
SCN2A	CEMP1	PALMD
IL4	CEMP1	PALMD
NPS	CEMP1	PALMD
NMDE1	CEMP1	PALMD
AOFB	CEMP1	PALMD
RL13A	CEMP1	PALMD
S22A2	CEMP1	PALMD
CALY	CEMP1	PALMD
S12A5	CEMP1	PALMD
PK3CA	CEMP1	PALMD
PDE4D	CEMP1	PALMD
KIF11	CEMP1	PALMD
NR1I2	CEMP1	PALMD
NISCH	CEMP1	PALMD
NFKB2	CEMP1	PALMD
ITK	CEMP1	PALMD
PPIA	CEMP1	PALMD
MMAA	CEMP1	PALMD
PA24A	CEMP1	PALMD
HYES	CEMP1	PALMD
CP2C8	CEMP1	PALMD
CAC1D	CEMP1	PALMD
SCNNA	CEMP1	PALMD
DRD3	CEMP1	PALMD
IOD1	CEMP1	PALMD
AAKB1	CEMP1	PALMD
ARY2	CEMP1	PALMD
DOPO	CEMP1	PALMD
PDE3A	CEMP1	PALMD
TR10B	CEMP1	PALMD
ADA1B	CEMP1	PALMD
C9JK77	CEMP1	PALMD
MYLK3	CEMP1	PALMD
PDE1B	CEMP1	PALMD
MYH9	CEMP1	PALMD
TRI15	CEMP1	PALMD
HPRT	CEMP1	PALMD
ADRB2	CEMP1	PALMD
LIPL	CEMP1	PALMD
MDR1	CEMP1	PALMD
5HT1A	CEMP1	PALMD
CP19A	CEMP1	PALMD
ARY1	CEMP1	PALMD
5HT2A	CEMP1	PALMD
G6PD	CEMP1	PALMD
PYRD	CEMP1	PALMD
GBRB2	CEMP1	PALMD
IKBA	CEMP1	PALMD
THRB	CEMP1	PALMD
GPX1	CEMP1	PALMD
TNNC2	CEMP1	PALMD
S22AB	CEMP1	PALMD
PDE5A	CEMP1	PALMD
TGFB1	CEMP1	PALMD
TOP2A	CEMP1	PALMD
RL23	CEMP1	PALMD
PDK3	CEMP1	PALMD
EDNRA	CEMP1	PALMD
