source	destinations_disconnected_to
METH	VAT1	TOR3A	ZNF32
LDHA	VAT1	TOR3A	ZNF32
MK08	VAT1	TOR3A	ZNF32
IGHG4	VAT1	TOR3A	ZNF32
CP2CJ	VAT1	TOR3A	ZNF32
RXRA	VAT1	TOR3A	ZNF32
PA2GA	VAT1	TOR3A	ZNF32
CP131	VAT1	TOR3A	ZNF32
ACACB	VAT1	TOR3A	ZNF32
PTHY	VAT1	TOR3A	ZNF32
IL10	VAT1	TOR3A	ZNF32
CAH2	VAT1	TOR3A	ZNF32
OPRD	VAT1	TOR3A	ZNF32
AAPK1	VAT1	TOR3A	ZNF32
PDPK1	VAT1	TOR3A	ZNF32
ADRB3	VAT1	TOR3A	ZNF32
C11B1	VAT1	TOR3A	ZNF32
GBRP	VAT1	TOR3A	ZNF32
ROCK2	VAT1	TOR3A	ZNF32
RL8	VAT1	TOR3A	ZNF32
ADCY2	VAT1	TOR3A	ZNF32
PHOP2	VAT1	TOR3A	ZNF32
CAH12	VAT1	TOR3A	ZNF32
S10A4	VAT1	TOR3A	ZNF32
GRIK1	VAT1	TOR3A	ZNF32
CBG	VAT1	TOR3A	ZNF32
PRGR	VAT1	TOR3A	ZNF32
HCAR2	VAT1	TOR3A	ZNF32
DNMT1	VAT1	TOR3A	ZNF32
PGH2	VAT1	TOR3A	ZNF32
CAC1F	VAT1	TOR3A	ZNF32
ADA2C	VAT1	TOR3A	ZNF32
S15A1	VAT1	TOR3A	ZNF32
ADA1A	VAT1	TOR3A	ZNF32
A1AG2	VAT1	TOR3A	ZNF32
OX1R	VAT1	TOR3A	ZNF32
KCMA1	VAT1	TOR3A	ZNF32
NMDE3	VAT1	TOR3A	ZNF32
HIBCH	VAT1	TOR3A	ZNF32
IPKA	VAT1	TOR3A	ZNF32
S22AI	VAT1	TOR3A	ZNF32
S29A1	VAT1	TOR3A	ZNF32
HDAC1	VAT1	TOR3A	ZNF32
PNPH	VAT1	TOR3A	ZNF32
ADA2B	VAT1	TOR3A	ZNF32
TRFL	VAT1	TOR3A	ZNF32
ALBU	VAT1	TOR3A	ZNF32
FMO3	VAT1	TOR3A	ZNF32
PLK1	VAT1	TOR3A	ZNF32
SGMR1	VAT1	TOR3A	ZNF32
GUAA	VAT1	TOR3A	ZNF32
QOR	VAT1	TOR3A	ZNF32
GCR	VAT1	TOR3A	ZNF32
CATD	VAT1	TOR3A	ZNF32
MIF	VAT1	TOR3A	ZNF32
HPGDS	VAT1	TOR3A	ZNF32
MKNK1	VAT1	TOR3A	ZNF32
P2RY2	VAT1	TOR3A	ZNF32
S12A4	VAT1	TOR3A	ZNF32
EGFR	VAT1	TOR3A	ZNF32
NFKB1	VAT1	TOR3A	ZNF32
PGFRB	VAT1	TOR3A	ZNF32
ANT3	VAT1	TOR3A	ZNF32
GTR1	VAT1	TOR3A	ZNF32
MK10	VAT1	TOR3A	ZNF32
CAMLG	VAT1	TOR3A	ZNF32
HEMH	VAT1	TOR3A	ZNF32
MTRR	VAT1	TOR3A	ZNF32
NQO1	VAT1	TOR3A	ZNF32
ACH10	VAT1	TOR3A	ZNF32
FMO4	VAT1	TOR3A	ZNF32
DRD5	VAT1	TOR3A	ZNF32
TRY1	VAT1	TOR3A	ZNF32
SCNAA	VAT1	TOR3A	ZNF32
GBRG3	VAT1	TOR3A	ZNF32
PDE8B	VAT1	TOR3A	ZNF32
KCNA2	VAT1	TOR3A	ZNF32
IFNA2	VAT1	TOR3A	ZNF32
AA1R	VAT1	TOR3A	ZNF32
MAPK2	VAT1	TOR3A	ZNF32
PK3CD	VAT1	TOR3A	ZNF32
HRH4	VAT1	TOR3A	ZNF32
GBRB1	VAT1	TOR3A	ZNF32
HCN2	VAT1	TOR3A	ZNF32
RL26L	VAT1	TOR3A	ZNF32
DMTA2	VAT1	TOR3A	ZNF32
6PGD	VAT1	TOR3A	ZNF32
GRP78	VAT1	TOR3A	ZNF32
PSIP1	VAT1	TOR3A	ZNF32
AT1A4	VAT1	TOR3A	ZNF32
GLR	VAT1	TOR3A	ZNF32
OPRK	VAT1	TOR3A	ZNF32
ATPB	VAT1	TOR3A	ZNF32
STMN4	VAT1	TOR3A	ZNF32
CACB2	VAT1	TOR3A	ZNF32
NMDZ1	VAT1	TOR3A	ZNF32
SC6A3	VAT1	TOR3A	ZNF32
ST2B1	VAT1	TOR3A	ZNF32
TBG1	VAT1	TOR3A	ZNF32
ESR1	VAT1	TOR3A	ZNF32
CREB1	VAT1	TOR3A	ZNF32
5HT1B	VAT1	TOR3A	ZNF32
ERBB2	VAT1	TOR3A	ZNF32
HDAC7	VAT1	TOR3A	ZNF32
KCC1B	VAT1	TOR3A	ZNF32
TBD	VAT1	TOR3A	ZNF32
TOP2B	VAT1	TOR3A	ZNF32
3BHS1	VAT1	TOR3A	ZNF32
ATP4A	VAT1	TOR3A	ZNF32
LOX5	VAT1	TOR3A	ZNF32
UD3A1	VAT1	TOR3A	ZNF32
BDNF	VAT1	TOR3A	ZNF32
GBRA1	VAT1	TOR3A	ZNF32
FOS	VAT1	TOR3A	ZNF32
SHBG	VAT1	TOR3A	ZNF32
ODP2	VAT1	TOR3A	ZNF32
ABCA1	VAT1	TOR3A	ZNF32
DYR	VAT1	TOR3A	ZNF32
P85A	VAT1	TOR3A	ZNF32
SIR1	VAT1	TOR3A	ZNF32
MTHR	VAT1	TOR3A	ZNF32
ADCL2	VAT1	TOR3A	ZNF32
IBP3	VAT1	TOR3A	ZNF32
DDR1	VAT1	TOR3A	ZNF32
CP46A	VAT1	TOR3A	ZNF32
SCN2A	VAT1	TOR3A	ZNF32
IL4	VAT1	TOR3A	ZNF32
NPS	VAT1	TOR3A	ZNF32
