source	destinations_disconnected_to
ACE	ERMP1	ZNF43	PRR7
KAPCA	ERMP1	ZNF43	PRR7
NTKL	ERMP1	ZNF43	PRR7
CALM	ERMP1	ZNF43	PRR7
ACHA4	ERMP1	ZNF43	PRR7
ANXA2	ERMP1	ZNF43	PRR7
AURKB	ERMP1	ZNF43	PRR7
GNAT3	ERMP1	ZNF43	PRR7
CA2D1	ERMP1	ZNF43	PRR7
CAH4	ERMP1	ZNF43	PRR7
AK1C1	ERMP1	ZNF43	PRR7
ROCK1	ERMP1	ZNF43	PRR7
CHLE	ERMP1	ZNF43	PRR7
J3QK85	ERMP1	ZNF43	PRR7
ZAP70	ERMP1	ZNF43	PRR7
UD14	ERMP1	ZNF43	PRR7
S12A2	ERMP1	ZNF43	PRR7
EST1A	ERMP1	ZNF43	PRR7
VKOR1	ERMP1	ZNF43	PRR7
XDH	ERMP1	ZNF43	PRR7
ACHB4	ERMP1	ZNF43	PRR7
RLP24	ERMP1	ZNF43	PRR7
EDN1	ERMP1	ZNF43	PRR7
GBRB3	ERMP1	ZNF43	PRR7
TKT	ERMP1	ZNF43	PRR7
NEU2	ERMP1	ZNF43	PRR7
3HAO	ERMP1	ZNF43	PRR7
RL10L	ERMP1	ZNF43	PRR7
ADA1D	ERMP1	ZNF43	PRR7
CANB2	ERMP1	ZNF43	PRR7
KAP3	ERMP1	ZNF43	PRR7
PANX1	ERMP1	ZNF43	PRR7
ST2A1	ERMP1	ZNF43	PRR7
UPP2	ERMP1	ZNF43	PRR7
AK1D1	ERMP1	ZNF43	PRR7
CAC1A	ERMP1	ZNF43	PRR7
CUBN	ERMP1	ZNF43	PRR7
THA	ERMP1	ZNF43	PRR7
TBB5	ERMP1	ZNF43	PRR7
CATA	ERMP1	ZNF43	PRR7
RL3	ERMP1	ZNF43	PRR7
PA2GE	ERMP1	ZNF43	PRR7
HRH2	ERMP1	ZNF43	PRR7
ATTY	ERMP1	ZNF43	PRR7
S29A2	ERMP1	ZNF43	PRR7
GBRT	ERMP1	ZNF43	PRR7
ACHA3	ERMP1	ZNF43	PRR7
CDK6	ERMP1	ZNF43	PRR7
5HT7R	ERMP1	ZNF43	PRR7
ADRB1	ERMP1	ZNF43	PRR7
CP11A	ERMP1	ZNF43	PRR7
CSK	ERMP1	ZNF43	PRR7
5HT3A	ERMP1	ZNF43	PRR7
AT12A	ERMP1	ZNF43	PRR7
IOD3	ERMP1	ZNF43	PRR7
PGFRA	ERMP1	ZNF43	PRR7
A1AG1	ERMP1	ZNF43	PRR7
TNFA	ERMP1	ZNF43	PRR7
NFAC2	ERMP1	ZNF43	PRR7
NOS2	ERMP1	ZNF43	PRR7
5HT2B	ERMP1	ZNF43	PRR7
HS90A	ERMP1	ZNF43	PRR7
LCK	ERMP1	ZNF43	PRR7
ADCYA	ERMP1	ZNF43	PRR7
HS90B	ERMP1	ZNF43	PRR7
ADA2A	ERMP1	ZNF43	PRR7
CACP	ERMP1	ZNF43	PRR7
RARA	ERMP1	ZNF43	PRR7
PYC	ERMP1	ZNF43	PRR7
CATL1	ERMP1	ZNF43	PRR7
ACHA9	ERMP1	ZNF43	PRR7
NH2L1	ERMP1	ZNF43	PRR7
AAKB2	ERMP1	ZNF43	PRR7
DCXR	ERMP1	ZNF43	PRR7
CXCL7	ERMP1	ZNF43	PRR7
KCNE1	ERMP1	ZNF43	PRR7
B3GT4	ERMP1	ZNF43	PRR7
ACES	ERMP1	ZNF43	PRR7
SCNNG	ERMP1	ZNF43	PRR7
HASP	ERMP1	ZNF43	PRR7
MMP3	ERMP1	ZNF43	PRR7
MET	ERMP1	ZNF43	PRR7
AA2BR	ERMP1	ZNF43	PRR7
PDE8A	ERMP1	ZNF43	PRR7
5HT2C	ERMP1	ZNF43	PRR7
AK1C3	ERMP1	ZNF43	PRR7
OSTCN	ERMP1	ZNF43	PRR7
NMD3B	ERMP1	ZNF43	PRR7
CDK5	ERMP1	ZNF43	PRR7
PPARA	ERMP1	ZNF43	PRR7
DRD2	ERMP1	ZNF43	PRR7
VGFR2	ERMP1	ZNF43	PRR7
CP1A2	ERMP1	ZNF43	PRR7
NGF	ERMP1	ZNF43	PRR7
GBRA6	ERMP1	ZNF43	PRR7
ACHA7	ERMP1	ZNF43	PRR7
CP2C9	ERMP1	ZNF43	PRR7
TBA1A	ERMP1	ZNF43	PRR7
IL2RA	ERMP1	ZNF43	PRR7
PPB1	ERMP1	ZNF43	PRR7
PD2R	ERMP1	ZNF43	PRR7
Q71TU5	ERMP1	ZNF43	PRR7
DCE1	ERMP1	ZNF43	PRR7
GBRG1	ERMP1	ZNF43	PRR7
FGFR2	ERMP1	ZNF43	PRR7
IMPA1	ERMP1	ZNF43	PRR7
ACM2	ERMP1	ZNF43	PRR7
IL8	ERMP1	ZNF43	PRR7
5HT6R	ERMP1	ZNF43	PRR7
KPCT	ERMP1	ZNF43	PRR7
AOC1	ERMP1	ZNF43	PRR7
PCNA	ERMP1	ZNF43	PRR7
KSYK	ERMP1	ZNF43	PRR7
CAH9	ERMP1	ZNF43	PRR7
RL11	ERMP1	ZNF43	PRR7
CACB3	ERMP1	ZNF43	PRR7
HMDH	ERMP1	ZNF43	PRR7
GBRA4	ERMP1	ZNF43	PRR7
KIT	ERMP1	ZNF43	PRR7
AOFA	ERMP1	ZNF43	PRR7
NEP	ERMP1	ZNF43	PRR7
GLYC	ERMP1	ZNF43	PRR7
NCOA2	ERMP1	ZNF43	PRR7
5HT1E	ERMP1	ZNF43	PRR7
TBA4A	ERMP1	ZNF43	PRR7
METH	ERMP1	ZNF43	PRR7
LDHA	ERMP1	ZNF43	PRR7
MK08	ERMP1	ZNF43	PRR7
IGHG4	ERMP1	ZNF43	PRR7
CP2CJ	ERMP1	ZNF43	PRR7
RXRA	ERMP1	ZNF43	PRR7
PA2GA	ERMP1	ZNF43	PRR7
CP131	ERMP1	ZNF43	PRR7
ACACB	ERMP1	ZNF43	PRR7
PTHY	ERMP1	ZNF43	PRR7
IL10	ERMP1	ZNF43	PRR7
CAH2	ERMP1	ZNF43	PRR7
OPRD	ERMP1	ZNF43	PRR7
AAPK1	ERMP1	ZNF43	PRR7
PDPK1	ERMP1	ZNF43	PRR7
ADRB3	ERMP1	ZNF43	PRR7
C11B1	ERMP1	ZNF43	PRR7
GBRP	ERMP1	ZNF43	PRR7
ROCK2	ERMP1	ZNF43	PRR7
RL8	ERMP1	ZNF43	PRR7
ADCY2	ERMP1	ZNF43	PRR7
PHOP2	ERMP1	ZNF43	PRR7
CAH12	ERMP1	ZNF43	PRR7
S10A4	ERMP1	ZNF43	PRR7
GRIK1	ERMP1	ZNF43	PRR7
CBG	ERMP1	ZNF43	PRR7
PRGR	ERMP1	ZNF43	PRR7
HCAR2	ERMP1	ZNF43	PRR7
DNMT1	ERMP1	ZNF43	PRR7
PGH2	ERMP1	ZNF43	PRR7
CAC1F	ERMP1	ZNF43	PRR7
ADA2C	ERMP1	ZNF43	PRR7
S15A1	ERMP1	ZNF43	PRR7
ADA1A	ERMP1	ZNF43	PRR7
A1AG2	ERMP1	ZNF43	PRR7
OX1R	ERMP1	ZNF43	PRR7
KCMA1	ERMP1	ZNF43	PRR7
NMDE3	ERMP1	ZNF43	PRR7
HIBCH	ERMP1	ZNF43	PRR7
IPKA	ERMP1	ZNF43	PRR7
S22AI	ERMP1	ZNF43	PRR7
S29A1	ERMP1	ZNF43	PRR7
HDAC1	ERMP1	ZNF43	PRR7
PNPH	ERMP1	ZNF43	PRR7
ADA2B	ERMP1	ZNF43	PRR7
TRFL	ERMP1	ZNF43	PRR7
ALBU	ERMP1	ZNF43	PRR7
FMO3	ERMP1	ZNF43	PRR7
PLK1	ERMP1	ZNF43	PRR7
SGMR1	ERMP1	ZNF43	PRR7
GUAA	ERMP1	ZNF43	PRR7
QOR	ERMP1	ZNF43	PRR7
GCR	ERMP1	ZNF43	PRR7
CATD	ERMP1	ZNF43	PRR7
MIF	ERMP1	ZNF43	PRR7
HPGDS	ERMP1	ZNF43	PRR7
MKNK1	ERMP1	ZNF43	PRR7
P2RY2	ERMP1	ZNF43	PRR7
S12A4	ERMP1	ZNF43	PRR7
EGFR	ERMP1	ZNF43	PRR7
NFKB1	ERMP1	ZNF43	PRR7
PGFRB	ERMP1	ZNF43	PRR7
ANT3	ERMP1	ZNF43	PRR7
GTR1	ERMP1	ZNF43	PRR7
MK10	ERMP1	ZNF43	PRR7
CAMLG	ERMP1	ZNF43	PRR7
HEMH	ERMP1	ZNF43	PRR7
MTRR	ERMP1	ZNF43	PRR7
NQO1	ERMP1	ZNF43	PRR7
ACH10	ERMP1	ZNF43	PRR7
FMO4	ERMP1	ZNF43	PRR7
DRD5	ERMP1	ZNF43	PRR7
TRY1	ERMP1	ZNF43	PRR7
SCNAA	ERMP1	ZNF43	PRR7
GBRG3	ERMP1	ZNF43	PRR7
PDE8B	ERMP1	ZNF43	PRR7
KCNA2	ERMP1	ZNF43	PRR7
IFNA2	ERMP1	ZNF43	PRR7
AA1R	ERMP1	ZNF43	PRR7
MAPK2	ERMP1	ZNF43	PRR7
PK3CD	ERMP1	ZNF43	PRR7
HRH4	ERMP1	ZNF43	PRR7
GBRB1	ERMP1	ZNF43	PRR7
HCN2	ERMP1	ZNF43	PRR7
RL26L	ERMP1	ZNF43	PRR7
DMTA2	ERMP1	ZNF43	PRR7
6PGD	ERMP1	ZNF43	PRR7
GRP78	ERMP1	ZNF43	PRR7
PSIP1	ERMP1	ZNF43	PRR7
AT1A4	ERMP1	ZNF43	PRR7
GLR	ERMP1	ZNF43	PRR7
OPRK	ERMP1	ZNF43	PRR7
ATPB	ERMP1	ZNF43	PRR7
STMN4	ERMP1	ZNF43	PRR7
CACB2	ERMP1	ZNF43	PRR7
NMDZ1	ERMP1	ZNF43	PRR7
SC6A3	ERMP1	ZNF43	PRR7
ST2B1	ERMP1	ZNF43	PRR7
TBG1	ERMP1	ZNF43	PRR7
ESR1	ERMP1	ZNF43	PRR7
CREB1	ERMP1	ZNF43	PRR7
5HT1B	ERMP1	ZNF43	PRR7
ERBB2	ERMP1	ZNF43	PRR7
HDAC7	ERMP1	ZNF43	PRR7
KCC1B	ERMP1	ZNF43	PRR7
TBD	ERMP1	ZNF43	PRR7
TOP2B	ERMP1	ZNF43	PRR7
3BHS1	ERMP1	ZNF43	PRR7
ATP4A	ERMP1	ZNF43	PRR7
LOX5	ERMP1	ZNF43	PRR7
UD3A1	ERMP1	ZNF43	PRR7
BDNF	ERMP1	ZNF43	PRR7
GBRA1	ERMP1	ZNF43	PRR7
FOS	ERMP1	ZNF43	PRR7
SHBG	ERMP1	ZNF43	PRR7
ODP2	ERMP1	ZNF43	PRR7
ABCA1	ERMP1	ZNF43	PRR7
DYR	ERMP1	ZNF43	PRR7
P85A	ERMP1	ZNF43	PRR7
SIR1	ERMP1	ZNF43	PRR7
MTHR	ERMP1	ZNF43	PRR7
ADCL2	ERMP1	ZNF43	PRR7
IBP3	ERMP1	ZNF43	PRR7
DDR1	ERMP1	ZNF43	PRR7
CP46A	ERMP1	ZNF43	PRR7
SCN2A	ERMP1	ZNF43	PRR7
IL4	ERMP1	ZNF43	PRR7
NPS	ERMP1	ZNF43	PRR7
NMDE1	ERMP1	ZNF43	PRR7
AOFB	ERMP1	ZNF43	PRR7
RL13A	ERMP1	ZNF43	PRR7
S22A2	ERMP1	ZNF43	PRR7
CALY	ERMP1	ZNF43	PRR7
S12A5	ERMP1	ZNF43	PRR7
PK3CA	ERMP1	ZNF43	PRR7
PDE4D	ERMP1	ZNF43	PRR7
KIF11	ERMP1	ZNF43	PRR7
NR1I2	ERMP1	ZNF43	PRR7
NISCH	ERMP1	ZNF43	PRR7
NFKB2	ERMP1	ZNF43	PRR7
ITK	ERMP1	ZNF43	PRR7
PPIA	ERMP1	ZNF43	PRR7
MMAA	ERMP1	ZNF43	PRR7
