source	destinations_disconnected_to
DRD5	TOR3A	AFF3
TRY1	TOR3A	AFF3
SCNAA	TOR3A	AFF3
GBRG3	TOR3A	AFF3
PDE8B	TOR3A	AFF3
KCNA2	TOR3A	AFF3
IFNA2	TOR3A	AFF3
AA1R	TOR3A	AFF3
MAPK2	TOR3A	AFF3
PK3CD	TOR3A	AFF3
HRH4	TOR3A	AFF3
GBRB1	TOR3A	AFF3
HCN2	TOR3A	AFF3
RL26L	TOR3A	AFF3
DMTA2	TOR3A	AFF3
6PGD	TOR3A	AFF3
GRP78	TOR3A	AFF3
PSIP1	TOR3A	AFF3
AT1A4	TOR3A	AFF3
GLR	TOR3A	AFF3
OPRK	TOR3A	AFF3
ATPB	TOR3A	AFF3
STMN4	TOR3A	AFF3
CACB2	TOR3A	AFF3
NMDZ1	TOR3A	AFF3
SC6A3	TOR3A	AFF3
ST2B1	TOR3A	AFF3
TBG1	TOR3A	AFF3
ESR1	TOR3A	AFF3
CREB1	TOR3A	AFF3
5HT1B	TOR3A	AFF3
ERBB2	TOR3A	AFF3
HDAC7	TOR3A	AFF3
KCC1B	TOR3A	AFF3
TBD	TOR3A	AFF3
TOP2B	TOR3A	AFF3
3BHS1	TOR3A	AFF3
ATP4A	TOR3A	AFF3
LOX5	TOR3A	AFF3
UD3A1	TOR3A	AFF3
BDNF	TOR3A	AFF3
GBRA1	TOR3A	AFF3
FOS	TOR3A	AFF3
SHBG	TOR3A	AFF3
ODP2	TOR3A	AFF3
ABCA1	TOR3A	AFF3
DYR	TOR3A	AFF3
P85A	TOR3A	AFF3
SIR1	TOR3A	AFF3
MTHR	TOR3A	AFF3
ADCL2	TOR3A	AFF3
IBP3	TOR3A	AFF3
DDR1	TOR3A	AFF3
CP46A	TOR3A	AFF3
SCN2A	TOR3A	AFF3
IL4	TOR3A	AFF3
NPS	TOR3A	AFF3
NMDE1	TOR3A	AFF3
AOFB	TOR3A	AFF3
RL13A	TOR3A	AFF3
S22A2	TOR3A	AFF3
CALY	TOR3A	AFF3
S12A5	TOR3A	AFF3
PK3CA	TOR3A	AFF3
PDE4D	TOR3A	AFF3
KIF11	TOR3A	AFF3
NR1I2	TOR3A	AFF3
NISCH	TOR3A	AFF3
NFKB2	TOR3A	AFF3
ITK	TOR3A	AFF3
PPIA	TOR3A	AFF3
MMAA	TOR3A	AFF3
PA24A	TOR3A	AFF3
HYES	TOR3A	AFF3
CP2C8	TOR3A	AFF3
CAC1D	TOR3A	AFF3
SCNNA	TOR3A	AFF3
DRD3	TOR3A	AFF3
IOD1	TOR3A	AFF3
AAKB1	TOR3A	AFF3
ARY2	TOR3A	AFF3
DOPO	TOR3A	AFF3
PDE3A	TOR3A	AFF3
TR10B	TOR3A	AFF3
ADA1B	TOR3A	AFF3
C9JK77	TOR3A	AFF3
MYLK3	TOR3A	AFF3
PDE1B	TOR3A	AFF3
MYH9	TOR3A	AFF3
TRI15	TOR3A	AFF3
HPRT	TOR3A	AFF3
ADRB2	TOR3A	AFF3
LIPL	TOR3A	AFF3
MDR1	TOR3A	AFF3
5HT1A	TOR3A	AFF3
CP19A	TOR3A	AFF3
ARY1	TOR3A	AFF3
5HT2A	TOR3A	AFF3
G6PD	TOR3A	AFF3
PYRD	TOR3A	AFF3
GBRB2	TOR3A	AFF3
IKBA	TOR3A	AFF3
THRB	TOR3A	AFF3
GPX1	TOR3A	AFF3
TNNC2	TOR3A	AFF3
S22AB	TOR3A	AFF3
PDE5A	TOR3A	AFF3
TGFB1	TOR3A	AFF3
TOP2A	TOR3A	AFF3
RL23	TOR3A	AFF3
PDK3	TOR3A	AFF3
EDNRA	TOR3A	AFF3
TF65	TOR3A	AFF3
KAP0	TOR3A	AFF3
PPIF	TOR3A	AFF3
RL15	TOR3A	AFF3
KCNH2	TOR3A	AFF3
PDE4C	TOR3A	AFF3
ABCC8	TOR3A	AFF3
J3KPA4	TOR3A	AFF3
HDAC8	TOR3A	AFF3
GBRD	TOR3A	AFF3
CCKN	TOR3A	AFF3
ADCY5	TOR3A	AFF3
ATPA	TOR3A	AFF3
ATPG	TOR3A	AFF3
CAC1G	TOR3A	AFF3
