source	dest	edges	cum_dist	avg_dist_per_edge
ACE	ERCC8	3	0.776	0.258666666666667
ACE	TLR4	4	0.124	0.031
ACE	ANO1	4	0.52	0.13
ACE	SMG8	4	0.27	0.0675
ACE	ERCC5	4	0.828	0.207
ACE	GCM1	4	0.808	0.202
ACE	NPTX1	6	0.227	0.0378333333333333
ACE	TRPS1	5	0.671	0.1342
ACE	NIT1	8	0.4	0.05
ACE	CXCR3	3	0.2	0.0666666666666667
ACE	TESK1	4	0.346	0.0865
ACE	NRP2	2	0.109	0.0545
ACE	PTBP3	5	0.923	0.1846
KAPCA	ERCC8	2	0.531	0.2655
KAPCA	TLR4	5	0.122	0.0244
KAPCA	ANO1	5	0.621	0.1242
KAPCA	SMG8	5	0.276	0.0552
KAPCA	ERCC5	3	0.583	0.194333333333333
KAPCA	GCM1	3	0.563	0.187666666666667
KAPCA	NPTX1	4	0.238	0.0595
KAPCA	TRPS1	4	0.426	0.1065
KAPCA	NIT1	6	0.386	0.0643333333333333
KAPCA	CXCR3	4	0.191	0.04775
KAPCA	TESK1	4	0.371	0.09275
KAPCA	NRP2	3	0.253	0.0843333333333333
KAPCA	PTBP3	4	0.678	0.1695
NTKL	ERCC8	5	0.699	0.1398
NTKL	TLR4	5	0.248	0.0496
NTKL	ANO1	6	0.604	0.100666666666667
NTKL	SMG8	4	0.341	0.08525
NTKL	ERCC5	6	0.751	0.125166666666667
NTKL	GCM1	6	0.731	0.121833333333333
NTKL	NPTX1	9	0.374	0.0415555555555556
NTKL	TRPS1	7	0.594	0.0848571428571429
NTKL	NIT1	7	0.555	0.0792857142857143
NTKL	CXCR3	6	0.352	0.0586666666666667
NTKL	TESK1	4	0.26	0.065
NTKL	NRP2	4	0.242	0.0605
NTKL	PTBP3	7	0.846	0.120857142857143
CALM	ERCC8	3	0.936	0.312
CALM	TLR4	2	0.087	0.0435
CALM	ANO1	4	0.485	0.12125
CALM	SMG8	3	0.212	0.0706666666666667
CALM	ERCC5	4	0.988	0.247
CALM	GCM1	2	0.455	0.2275
CALM	NPTX1	6	0.217	0.0361666666666667
CALM	TRPS1	3	0.318	0.106
CALM	NIT1	8	0.39	0.04875
CALM	CXCR3	4	0.192	0.048
CALM	TESK1	3	0.14	0.0466666666666667
CALM	NRP2	3	0.122	0.0406666666666667
CALM	PTBP3	3	0.57	0.19
ACHA4	ERCC8	4	0.676	0.169
ACHA4	TLR4	5	0.215	0.043
ACHA4	ANO1	4	0.577	0.14425
ACHA4	SMG8	4	0.324	0.081
ACHA4	ERCC5	5	0.728	0.1456
ACHA4	GCM1	5	0.708	0.1416
ACHA4	NPTX1	5	0.323	0.0646
ACHA4	TRPS1	6	0.571	0.0951666666666667
ACHA4	NIT1	8	0.51	0.06375
ACHA4	CXCR3	4	0.274	0.0685
ACHA4	TESK1	4	0.294	0.0735
ACHA4	NRP2	4	0.22	0.055
ACHA4	PTBP3	6	0.823	0.137166666666667
ANXA2	ERCC8	4	0.546	0.1365
ANXA2	TLR4	2	0.099	0.0495
ANXA2	ANO1	3	0.592	0.197333333333333
ANXA2	SMG8	4	0.271	0.06775
ANXA2	ERCC5	5	0.598	0.1196
ANXA2	GCM1	2	0.556	0.278
ANXA2	NPTX1	6	0.235	0.0391666666666667
ANXA2	TRPS1	3	0.379	0.126333333333333
ANXA2	NIT1	7	0.408	0.0582857142857143
ANXA2	CXCR3	4	0.303	0.07575
ANXA2	TESK1	4	0.35	0.0875
ANXA2	NRP2	2	0.178	0.089
ANXA2	PTBP3	4	0.98	0.245
AURKB	ERCC8	4	0.49	0.1225
AURKB	TLR4	4	0.096	0.024
AURKB	ANO1	5	0.599	0.1198
AURKB	SMG8	2	0.163	0.0815
AURKB	ERCC5	5	0.542	0.1084
AURKB	GCM1	2	0.298	0.149
AURKB	NPTX1	4	0.221	0.05525
AURKB	TRPS1	4	0.375	0.09375
AURKB	NIT1	5	0.358	0.0716
AURKB	CXCR3	5	0.247	0.0494
AURKB	TESK1	7	0.349	0.0498571428571429
AURKB	NRP2	5	0.212	0.0424
AURKB	PTBP3	4	0.627	0.15675
GNAT3	ERCC8	3	0.822	0.274
GNAT3	TLR4	3	0.197	0.0656666666666667
GNAT3	ANO1	4	0.626	0.1565
GNAT3	SMG8	4	0.317	0.07925
GNAT3	ERCC5	4	0.874	0.2185
GNAT3	GCM1	5	0.446	0.0892
GNAT3	NPTX1	5	0.312	0.0624
GNAT3	TRPS1	5	0.692	0.1384
GNAT3	NIT1	8	0.498	0.06225
GNAT3	CXCR3	2	0.201	0.1005
GNAT3	TESK1	7	0.572	0.0817142857142857
GNAT3	NRP2	4	0.297	0.07425
GNAT3	PTBP3	7	1.134	0.162
CA2D1	ERCC8	5	0.72	0.144
CA2D1	TLR4	4	0.306	0.0765
CA2D1	ANO1	6	0.846	0.141
CA2D1	SMG8	6	0.501	0.0835
CA2D1	ERCC5	5	0.72	0.144
CA2D1	GCM1	4	0.579	0.14475
CA2D1	NPTX1	6	0.378	0.063
CA2D1	TRPS1	6	0.856	0.142666666666667
CA2D1	NIT1	8	0.518	0.06475
CA2D1	CXCR3	6	0.595	0.0991666666666667
CA2D1	TESK1	6	0.731	0.121833333333333
CA2D1	NRP2	3	0.43	0.143333333333333
CA2D1	PTBP3	6	1.267	0.211166666666667
CAH4	ERCC8	7	0.943	0.134714285714286
CAH4	TLR4	3	0.419	0.139666666666667
CAH4	ANO1	5	0.705	0.141
CAH4	SMG8	7	0.871	0.124428571428571
CAH4	ERCC5	7	0.996	0.142285714285714
CAH4	GCM1	5	0.836	0.1672
CAH4	NPTX1	5	0.506	0.1012
CAH4	TRPS1	5	0.943	0.1886
CAH4	NIT1	7	0.679	0.097
CAH4	CXCR3	6	0.962	0.160333333333333
CAH4	TESK1	6	0.671	0.111833333333333
CAH4	NRP2	8	0.887	0.110875
CAH4	PTBP3	9	1.375	0.152777777777778
AK1C1	ERCC8	6	0.981	0.1635
AK1C1	TLR4	5	0.316	0.0632
AK1C1	ANO1	7	0.596	0.0851428571428571
AK1C1	SMG8	5	0.384	0.0768
AK1C1	ERCC5	6	0.981	0.1635
AK1C1	GCM1	6	0.947	0.157833333333333
AK1C1	NPTX1	7	0.396	0.0565714285714286
AK1C1	TRPS1	4	0.824	0.206
AK1C1	NIT1	9	0.57	0.0633333333333333
AK1C1	CXCR3	6	0.632	0.105333333333333
AK1C1	TESK1	5	0.851	0.1702
AK1C1	NRP2	4	0.642	0.1605
AK1C1	PTBP3	8	1.318	0.16475
ROCK1	ERCC8	5	0.961	0.1922
ROCK1	TLR4	3	0.174	0.058
ROCK1	ANO1	6	0.726	0.121
ROCK1	SMG8	6	0.363	0.0605
ROCK1	ERCC5	6	0.817	0.136166666666667
ROCK1	GCM1	6	0.778	0.129666666666667
ROCK1	NPTX1	6	0.292	0.0486666666666667
ROCK1	TRPS1	5	0.745	0.149
ROCK1	NIT1	5	0.44	0.088
ROCK1	CXCR3	5	0.517	0.1034
ROCK1	TESK1	5	0.612	0.1224
ROCK1	NRP2	5	0.752	0.1504
ROCK1	PTBP3	4	1.099	0.27475
CHLE	ERCC8	7	0.999	0.142714285714286
CHLE	TLR4	4	0.132	0.033
CHLE	ANO1	3	0.573	0.191
CHLE	SMG8	3	0.235	0.0783333333333333
CHLE	ERCC5	5	0.958	0.1916
CHLE	GCM1	5	0.785	0.157
CHLE	NPTX1	5	0.254	0.0508
CHLE	TRPS1	3	0.763	0.254333333333333
CHLE	NIT1	7	0.435	0.0621428571428571
CHLE	CXCR3	4	0.284	0.071
CHLE	TESK1	4	0.398	0.0995
CHLE	NRP2	6	0.928	0.154666666666667
CHLE	PTBP3	6	0.97	0.161666666666667
J3QK85	ERCC8	4	0.612	0.153
J3QK85	TLR4	2	0.066	0.033
J3QK85	ANO1	3	0.498	0.166
J3QK85	SMG8	4	0.238	0.0595
J3QK85	ERCC5	5	0.664	0.1328
J3QK85	GCM1	5	0.644	0.1288
J3QK85	NPTX1	6	0.202	0.0336666666666667
J3QK85	TRPS1	6	0.507	0.0845
J3QK85	NIT1	7	0.375	0.0535714285714286
J3QK85	CXCR3	3	0.246	0.082
J3QK85	TESK1	4	0.219	0.05475
J3QK85	NRP2	3	0.19	0.0633333333333333
J3QK85	PTBP3	6	0.759	0.1265
ZAP70	ERCC8	3	0.507	0.169
ZAP70	TLR4	3	0.046	0.0153333333333333
ZAP70	ANO1	4	0.431	0.10775
