source	destinations_disconnected_to
EGFR	VAMP5	MBNL2
NFKB1	VAMP5	MBNL2
PGFRB	VAMP5	MBNL2
ANT3	VAMP5	MBNL2
GTR1	VAMP5	MBNL2
MK10	VAMP5	MBNL2
CAMLG	VAMP5	MBNL2
HEMH	VAMP5	MBNL2
MTRR	VAMP5	MBNL2
NQO1	VAMP5	MBNL2
ACH10	VAMP5	MBNL2
FMO4	VAMP5	MBNL2
DRD5	VAMP5	MBNL2
TRY1	VAMP5	MBNL2
SCNAA	VAMP5	MBNL2
GBRG3	VAMP5	MBNL2
PDE8B	VAMP5	MBNL2
KCNA2	VAMP5	MBNL2
IFNA2	VAMP5	MBNL2
AA1R	VAMP5	MBNL2
MAPK2	VAMP5	MBNL2
PK3CD	VAMP5	MBNL2
HRH4	VAMP5	MBNL2
GBRB1	VAMP5	MBNL2
HCN2	VAMP5	MBNL2
RL26L	VAMP5	MBNL2
DMTA2	VAMP5	MBNL2
6PGD	VAMP5	MBNL2
GRP78	VAMP5	MBNL2
PSIP1	VAMP5	MBNL2
AT1A4	VAMP5	MBNL2
GLR	VAMP5	MBNL2
OPRK	VAMP5	MBNL2
ATPB	VAMP5	MBNL2
STMN4	VAMP5	MBNL2
CACB2	VAMP5	MBNL2
NMDZ1	VAMP5	MBNL2
SC6A3	VAMP5	MBNL2
ST2B1	VAMP5	MBNL2
TBG1	VAMP5	MBNL2
ESR1	VAMP5	MBNL2
CREB1	VAMP5	MBNL2
5HT1B	VAMP5	MBNL2
ERBB2	VAMP5	MBNL2
HDAC7	VAMP5	MBNL2
KCC1B	VAMP5	MBNL2
TBD	VAMP5	MBNL2
TOP2B	VAMP5	MBNL2
3BHS1	VAMP5	MBNL2
ATP4A	VAMP5	MBNL2
LOX5	VAMP5	MBNL2
UD3A1	VAMP5	MBNL2
BDNF	VAMP5	MBNL2
GBRA1	VAMP5	MBNL2
FOS	VAMP5	MBNL2
SHBG	VAMP5	MBNL2
ODP2	VAMP5	MBNL2
ABCA1	VAMP5	MBNL2
DYR	VAMP5	MBNL2
P85A	VAMP5	MBNL2
SIR1	VAMP5	MBNL2
MTHR	VAMP5	MBNL2
ADCL2	VAMP5	MBNL2
IBP3	VAMP5	MBNL2
DDR1	VAMP5	MBNL2
CP46A	VAMP5	MBNL2
SCN2A	VAMP5	MBNL2
IL4	VAMP5	MBNL2
NPS	VAMP5	MBNL2
NMDE1	VAMP5	MBNL2
AOFB	VAMP5	MBNL2
RL13A	VAMP5	MBNL2
S22A2	VAMP5	MBNL2
CALY	VAMP5	MBNL2
S12A5	VAMP5	MBNL2
PK3CA	VAMP5	MBNL2
PDE4D	VAMP5	MBNL2
KIF11	VAMP5	MBNL2
NR1I2	VAMP5	MBNL2
NISCH	VAMP5	MBNL2
NFKB2	VAMP5	MBNL2
ITK	VAMP5	MBNL2
PPIA	VAMP5	MBNL2
MMAA	VAMP5	MBNL2
PA24A	VAMP5	MBNL2
HYES	VAMP5	MBNL2
CP2C8	VAMP5	MBNL2
CAC1D	VAMP5	MBNL2
SCNNA	VAMP5	MBNL2
DRD3	VAMP5	MBNL2
IOD1	VAMP5	MBNL2
AAKB1	VAMP5	MBNL2
ARY2	VAMP5	MBNL2
DOPO	VAMP5	MBNL2
PDE3A	VAMP5	MBNL2
TR10B	VAMP5	MBNL2
ADA1B	VAMP5	MBNL2
C9JK77	VAMP5	MBNL2
MYLK3	VAMP5	MBNL2
PDE1B	VAMP5	MBNL2
MYH9	VAMP5	MBNL2
TRI15	VAMP5	MBNL2
HPRT	VAMP5	MBNL2
ADRB2	VAMP5	MBNL2
LIPL	VAMP5	MBNL2
MDR1	VAMP5	MBNL2
5HT1A	VAMP5	MBNL2
CP19A	VAMP5	MBNL2
ARY1	VAMP5	MBNL2
5HT2A	VAMP5	MBNL2
G6PD	VAMP5	MBNL2
PYRD	VAMP5	MBNL2
GBRB2	VAMP5	MBNL2
IKBA	VAMP5	MBNL2
THRB	VAMP5	MBNL2
GPX1	VAMP5	MBNL2
TNNC2	VAMP5	MBNL2
S22AB	VAMP5	MBNL2
PDE5A	VAMP5	MBNL2
TGFB1	VAMP5	MBNL2
TOP2A	VAMP5	MBNL2
RL23	VAMP5	MBNL2
PDK3	VAMP5	MBNL2
EDNRA	VAMP5	MBNL2
TF65	VAMP5	MBNL2
KAP0	VAMP5	MBNL2
PPIF	VAMP5	MBNL2
RL15	VAMP5	MBNL2
KCNH2	VAMP5	MBNL2
PDE4C	VAMP5	MBNL2
ABCC8	VAMP5	MBNL2
J3KPA4	VAMP5	MBNL2
HDAC8	VAMP5	MBNL2
GBRD	VAMP5	MBNL2
CCKN	VAMP5	MBNL2
ADCY5	VAMP5	MBNL2
ATPA	VAMP5	MBNL2
ATPG	VAMP5	MBNL2
CAC1G	VAMP5	MBNL2
LDHB	VAMP5	MBNL2
JUN	VAMP5	MBNL2
CSF1R	VAMP5	MBNL2
UD19	VAMP5	MBNL2
ATF6A	VAMP5	MBNL2
RL19	VAMP5	MBNL2
ST17B	VAMP5	MBNL2
ABL1	VAMP5	MBNL2
PHOP1	VAMP5	MBNL2
SC6A4	VAMP5	MBNL2
S22A6	VAMP5	MBNL2
GRIK2	VAMP5	MBNL2
ACM3	VAMP5	MBNL2
RYR1	VAMP5	MBNL2
S23IP	VAMP5	MBNL2
CRBN	VAMP5	MBNL2
MUTA	VAMP5	MBNL2
ARGI1	VAMP5	MBNL2
AA3R	VAMP5	MBNL2
GBRA5	VAMP5	MBNL2
CAH6	VAMP5	MBNL2
FAK1	VAMP5	MBNL2
SCNND	VAMP5	MBNL2
CASP8	VAMP5	MBNL2
SYRC	VAMP5	MBNL2
CP3A4	VAMP5	MBNL2
A4	VAMP5	MBNL2
MRP1	VAMP5	MBNL2
KCNN4	VAMP5	MBNL2
PDE7A	VAMP5	MBNL2
SCN4A	VAMP5	MBNL2
CACB1	VAMP5	MBNL2
DHI1	VAMP5	MBNL2
PDIA1	VAMP5	MBNL2
LRP2	VAMP5	MBNL2
ESR2	VAMP5	MBNL2
SCNNB	VAMP5	MBNL2
NMDE4	VAMP5	MBNL2
TY3H	VAMP5	MBNL2
SOAT1	VAMP5	MBNL2
NMD3A	VAMP5	MBNL2
ASM	VAMP5	MBNL2
S12A1	VAMP5	MBNL2
CP1A1	VAMP5	MBNL2
INSR2	VAMP5	MBNL2
NCOA1	VAMP5	MBNL2
TBE	VAMP5	MBNL2
ITAL	VAMP5	MBNL2
PPARG	VAMP5	MBNL2
GSK3B	VAMP5	MBNL2
CAC1I	VAMP5	MBNL2
THB	VAMP5	MBNL2
KLK3	VAMP5	MBNL2
GBRA2	VAMP5	MBNL2
TBB4B	VAMP5	MBNL2
DRD4	VAMP5	MBNL2
CLIC1	VAMP5	MBNL2
GBRE	VAMP5	MBNL2
RHOA	VAMP5	MBNL2
TERT	VAMP5	MBNL2
RL23A	VAMP5	MBNL2
KITH	VAMP5	MBNL2
HIF1A	VAMP5	MBNL2
TEBP	VAMP5	MBNL2
PERM	VAMP5	MBNL2
TYSY	VAMP5	MBNL2
PAR10	VAMP5	MBNL2
NNMT	VAMP5	MBNL2
RARB	VAMP5	MBNL2
PK3CG	VAMP5	MBNL2
CAC1C	VAMP5	MBNL2
PLPL9	VAMP5	MBNL2
OPRM	VAMP5	MBNL2
PLMN	VAMP5	MBNL2
ADA	VAMP5	MBNL2
TNNC1	VAMP5	MBNL2
J3KN87	VAMP5	MBNL2
GBRG2	VAMP5	MBNL2
FAD1	VAMP5	MBNL2
PDE1A	VAMP5	MBNL2
GLUC	VAMP5	MBNL2
EST1	VAMP5	MBNL2
P2RX2	VAMP5	MBNL2
NOS3	VAMP5	MBNL2
GSTP1	VAMP5	MBNL2
CAH7	VAMP5	MBNL2
IL6	VAMP5	MBNL2
UD13	VAMP5	MBNL2
PDE4A	VAMP5	MBNL2
CBPB2	VAMP5	MBNL2
KCJ11	VAMP5	MBNL2
SCN5A	VAMP5	MBNL2
CP21A	VAMP5	MBNL2
CFTR	VAMP5	MBNL2
ACM1	VAMP5	MBNL2
GRIA2	VAMP5	MBNL2
CPT2	VAMP5	MBNL2
COMT	VAMP5	MBNL2
P53	VAMP5	MBNL2
CNGA1	VAMP5	MBNL2
HDAC9	VAMP5	MBNL2
KCNQ1	VAMP5	MBNL2
PGH1	VAMP5	MBNL2
CP2R1	VAMP5	MBNL2
CAC1H	VAMP5	MBNL2
CAB45	VAMP5	MBNL2
CDK2	VAMP5	MBNL2
SC6A2	VAMP5	MBNL2
AK1C2	VAMP5	MBNL2
CA2D2	VAMP5	MBNL2
S22A8	VAMP5	MBNL2
EBP	VAMP5	MBNL2
NADC	VAMP5	MBNL2
5HT5A	VAMP5	MBNL2
AHR	VAMP5	MBNL2
HDAC6	VAMP5	MBNL2
MRP2	VAMP5	MBNL2
PDE4B	VAMP5	MBNL2
AA2AR	VAMP5	MBNL2
PDE7B	VAMP5	MBNL2
FAK2	VAMP5	MBNL2
CASP3	VAMP5	MBNL2
CATB	VAMP5	MBNL2
CAC1S	VAMP5	MBNL2
TA2R	VAMP5	MBNL2
TPMT	VAMP5	MBNL2
5HT1D	VAMP5	MBNL2
PIM1	VAMP5	MBNL2
AT1A1	VAMP5	MBNL2
MMP9	VAMP5	MBNL2
RL37	VAMP5	MBNL2
PARP1	VAMP5	MBNL2
RENR	VAMP5	MBNL2
ENPL	VAMP5	MBNL2
NR1I3	VAMP5	MBNL2
CAH1	VAMP5	MBNL2
SL9A7	VAMP5	MBNL2
ACM4	VAMP5	MBNL2
TOP1	VAMP5	MBNL2
DHB8	VAMP5	MBNL2
FABP6	VAMP5	MBNL2
GABR1	VAMP5	MBNL2
LY66C	VAMP5	MBNL2
GLNA	VAMP5	MBNL2
SCN1A	VAMP5	MBNL2
HDAC3	VAMP5	MBNL2
RENI	VAMP5	MBNL2
