source	destinations_disconnected_to
ACE	EFHD2	GKN1
KAPCA	EFHD2	GKN1
NTKL	EFHD2	GKN1
CALM	EFHD2	GKN1
ACHA4	EFHD2	GKN1
ANXA2	EFHD2	GKN1
AURKB	EFHD2	GKN1
GNAT3	EFHD2	GKN1
CA2D1	EFHD2	GKN1
CAH4	EFHD2	GKN1
AK1C1	EFHD2	GKN1
ROCK1	EFHD2	GKN1
CHLE	EFHD2	GKN1
J3QK85	EFHD2	GKN1
ZAP70	EFHD2	GKN1
UD14	EFHD2	GKN1
S12A2	EFHD2	GKN1
EST1A	EFHD2	GKN1
VKOR1	EFHD2	GKN1
XDH	EFHD2	GKN1
ACHB4	EFHD2	GKN1
RLP24	EFHD2	GKN1
EDN1	EFHD2	GKN1
GBRB3	EFHD2	GKN1
TKT	EFHD2	GKN1
NEU2	EFHD2	GKN1
3HAO	EFHD2	GKN1
RL10L	EFHD2	GKN1
ADA1D	EFHD2	GKN1
CANB2	EFHD2	GKN1
KAP3	EFHD2	GKN1
PANX1	EFHD2	GKN1
ST2A1	EFHD2	GKN1
UPP2	EFHD2	GKN1
AK1D1	EFHD2	GKN1
CAC1A	EFHD2	GKN1
CUBN	EFHD2	GKN1
THA	EFHD2	GKN1
TBB5	EFHD2	GKN1
CATA	EFHD2	GKN1
RL3	EFHD2	GKN1
PA2GE	EFHD2	GKN1
HRH2	EFHD2	GKN1
ATTY	EFHD2	GKN1
S29A2	EFHD2	GKN1
GBRT	EFHD2	GKN1
ACHA3	EFHD2	GKN1
CDK6	EFHD2	GKN1
5HT7R	EFHD2	GKN1
ADRB1	EFHD2	GKN1
CP11A	EFHD2	GKN1
CSK	EFHD2	GKN1
5HT3A	EFHD2	GKN1
AT12A	EFHD2	GKN1
IOD3	EFHD2	GKN1
PGFRA	EFHD2	GKN1
A1AG1	EFHD2	GKN1
TNFA	EFHD2	GKN1
NFAC2	EFHD2	GKN1
NOS2	EFHD2	GKN1
5HT2B	EFHD2	GKN1
HS90A	EFHD2	GKN1
LCK	EFHD2	GKN1
ADCYA	EFHD2	GKN1
HS90B	EFHD2	GKN1
ADA2A	EFHD2	GKN1
CACP	EFHD2	GKN1
RARA	EFHD2	GKN1
PYC	EFHD2	GKN1
CATL1	EFHD2	GKN1
ACHA9	EFHD2	GKN1
NH2L1	EFHD2	GKN1
AAKB2	EFHD2	GKN1
DCXR	EFHD2	GKN1
CXCL7	EFHD2	GKN1
KCNE1	EFHD2	GKN1
B3GT4	EFHD2	GKN1
ACES	EFHD2	GKN1
SCNNG	EFHD2	GKN1
HASP	EFHD2	GKN1
MMP3	EFHD2	GKN1
MET	EFHD2	GKN1
AA2BR	EFHD2	GKN1
PDE8A	EFHD2	GKN1
5HT2C	EFHD2	GKN1
AK1C3	EFHD2	GKN1
OSTCN	EFHD2	GKN1
NMD3B	EFHD2	GKN1
CDK5	EFHD2	GKN1
PPARA	EFHD2	GKN1
DRD2	EFHD2	GKN1
VGFR2	EFHD2	GKN1
CP1A2	EFHD2	GKN1
NGF	EFHD2	GKN1
GBRA6	EFHD2	GKN1
ACHA7	EFHD2	GKN1
CP2C9	EFHD2	GKN1
TBA1A	EFHD2	GKN1
IL2RA	EFHD2	GKN1
PPB1	EFHD2	GKN1
PD2R	EFHD2	GKN1
Q71TU5	EFHD2	GKN1
DCE1	EFHD2	GKN1
GBRG1	EFHD2	GKN1
FGFR2	EFHD2	GKN1
IMPA1	EFHD2	GKN1
ACM2	EFHD2	GKN1
IL8	EFHD2	GKN1
5HT6R	EFHD2	GKN1
KPCT	EFHD2	GKN1
AOC1	EFHD2	GKN1
PCNA	EFHD2	GKN1
KSYK	EFHD2	GKN1
CAH9	EFHD2	GKN1
RL11	EFHD2	GKN1
CACB3	EFHD2	GKN1
HMDH	EFHD2	GKN1
GBRA4	EFHD2	GKN1
KIT	EFHD2	GKN1
AOFA	EFHD2	GKN1
NEP	EFHD2	GKN1
GLYC	EFHD2	GKN1
NCOA2	EFHD2	GKN1
5HT1E	EFHD2	GKN1
TBA4A	EFHD2	GKN1
METH	EFHD2	GKN1
LDHA	EFHD2	GKN1
MK08	EFHD2	GKN1
IGHG4	EFHD2	GKN1
CP2CJ	EFHD2	GKN1
RXRA	EFHD2	GKN1
PA2GA	EFHD2	GKN1
CP131	EFHD2	GKN1
ACACB	EFHD2	GKN1
PTHY	EFHD2	GKN1
IL10	EFHD2	GKN1
CAH2	EFHD2	GKN1
OPRD	EFHD2	GKN1
AAPK1	EFHD2	GKN1
PDPK1	EFHD2	GKN1
ADRB3	EFHD2	GKN1
C11B1	EFHD2	GKN1
GBRP	EFHD2	GKN1
ROCK2	EFHD2	GKN1
RL8	EFHD2	GKN1
ADCY2	EFHD2	GKN1
PHOP2	EFHD2	GKN1
CAH12	EFHD2	GKN1
S10A4	EFHD2	GKN1
GRIK1	EFHD2	GKN1
CBG	EFHD2	GKN1
PRGR	EFHD2	GKN1
HCAR2	EFHD2	GKN1
DNMT1	EFHD2	GKN1
PGH2	EFHD2	GKN1
CAC1F	EFHD2	GKN1
ADA2C	EFHD2	GKN1
S15A1	EFHD2	GKN1
ADA1A	EFHD2	GKN1
A1AG2	EFHD2	GKN1
OX1R	EFHD2	GKN1
KCMA1	EFHD2	GKN1
NMDE3	EFHD2	GKN1
HIBCH	EFHD2	GKN1
IPKA	EFHD2	GKN1
S22AI	EFHD2	GKN1
S29A1	EFHD2	GKN1
HDAC1	EFHD2	GKN1
PNPH	EFHD2	GKN1
ADA2B	EFHD2	GKN1
TRFL	EFHD2	GKN1
ALBU	EFHD2	GKN1
FMO3	EFHD2	GKN1
PLK1	EFHD2	GKN1
SGMR1	EFHD2	GKN1
GUAA	EFHD2	GKN1
QOR	EFHD2	GKN1
GCR	EFHD2	GKN1
CATD	EFHD2	GKN1
MIF	EFHD2	GKN1
HPGDS	EFHD2	GKN1
MKNK1	EFHD2	GKN1
P2RY2	EFHD2	GKN1
S12A4	EFHD2	GKN1
EGFR	EFHD2	GKN1
NFKB1	EFHD2	GKN1
PGFRB	EFHD2	GKN1
ANT3	EFHD2	GKN1
GTR1	EFHD2	GKN1
MK10	EFHD2	GKN1
CAMLG	EFHD2	GKN1
HEMH	EFHD2	GKN1
MTRR	EFHD2	GKN1
NQO1	EFHD2	GKN1
ACH10	EFHD2	GKN1
FMO4	EFHD2	GKN1
DRD5	EFHD2	GKN1
TRY1	EFHD2	GKN1
SCNAA	EFHD2	GKN1
GBRG3	EFHD2	GKN1
PDE8B	EFHD2	GKN1
KCNA2	EFHD2	GKN1
IFNA2	EFHD2	GKN1
AA1R	EFHD2	GKN1
MAPK2	EFHD2	GKN1
PK3CD	EFHD2	GKN1
HRH4	EFHD2	GKN1
GBRB1	EFHD2	GKN1
HCN2	EFHD2	GKN1
RL26L	EFHD2	GKN1
DMTA2	EFHD2	GKN1
6PGD	EFHD2	GKN1
GRP78	EFHD2	GKN1
PSIP1	EFHD2	GKN1
AT1A4	EFHD2	GKN1
GLR	EFHD2	GKN1
OPRK	EFHD2	GKN1
ATPB	EFHD2	GKN1
STMN4	EFHD2	GKN1
CACB2	EFHD2	GKN1
NMDZ1	EFHD2	GKN1
SC6A3	EFHD2	GKN1
ST2B1	EFHD2	GKN1
TBG1	EFHD2	GKN1
ESR1	EFHD2	GKN1
CREB1	EFHD2	GKN1
5HT1B	EFHD2	GKN1
ERBB2	EFHD2	GKN1
HDAC7	EFHD2	GKN1
KCC1B	EFHD2	GKN1
TBD	EFHD2	GKN1
TOP2B	EFHD2	GKN1
3BHS1	EFHD2	GKN1
ATP4A	EFHD2	GKN1
LOX5	EFHD2	GKN1
UD3A1	EFHD2	GKN1
BDNF	EFHD2	GKN1
GBRA1	EFHD2	GKN1
FOS	EFHD2	GKN1
SHBG	EFHD2	GKN1
ODP2	EFHD2	GKN1
ABCA1	EFHD2	GKN1
DYR	EFHD2	GKN1
P85A	EFHD2	GKN1
SIR1	EFHD2	GKN1
MTHR	EFHD2	GKN1
ADCL2	EFHD2	GKN1
IBP3	EFHD2	GKN1
DDR1	EFHD2	GKN1
CP46A	EFHD2	GKN1
SCN2A	EFHD2	GKN1
IL4	EFHD2	GKN1
NPS	EFHD2	GKN1
NMDE1	EFHD2	GKN1
AOFB	EFHD2	GKN1
RL13A	EFHD2	GKN1
S22A2	EFHD2	GKN1
CALY	EFHD2	GKN1
S12A5	EFHD2	GKN1
PK3CA	EFHD2	GKN1
PDE4D	EFHD2	GKN1
KIF11	EFHD2	GKN1
NR1I2	EFHD2	GKN1
NISCH	EFHD2	GKN1
NFKB2	EFHD2	GKN1
ITK	EFHD2	GKN1
PPIA	EFHD2	GKN1
MMAA	EFHD2	GKN1
PA24A	EFHD2	GKN1
HYES	EFHD2	GKN1
CP2C8	EFHD2	GKN1
CAC1D	EFHD2	GKN1
SCNNA	EFHD2	GKN1
DRD3	EFHD2	GKN1
IOD1	EFHD2	GKN1
AAKB1	EFHD2	GKN1
ARY2	EFHD2	GKN1
DOPO	EFHD2	GKN1
PDE3A	EFHD2	GKN1
TR10B	EFHD2	GKN1
ADA1B	EFHD2	GKN1
C9JK77	EFHD2	GKN1
MYLK3	EFHD2	GKN1
PDE1B	EFHD2	GKN1
MYH9	EFHD2	GKN1
TRI15	EFHD2	GKN1
HPRT	EFHD2	GKN1
ADRB2	EFHD2	GKN1
LIPL	EFHD2	GKN1
MDR1	EFHD2	GKN1
5HT1A	EFHD2	GKN1
CP19A	EFHD2	GKN1
ARY1	EFHD2	GKN1
5HT2A	EFHD2	GKN1
G6PD	EFHD2	GKN1
PYRD	EFHD2	GKN1
GBRB2	EFHD2	GKN1
IKBA	EFHD2	GKN1
THRB	EFHD2	GKN1
GPX1	EFHD2	GKN1
TNNC2	EFHD2	GKN1
S22AB	EFHD2	GKN1
PDE5A	EFHD2	GKN1
TGFB1	EFHD2	GKN1
TOP2A	EFHD2	GKN1
RL23	EFHD2	GKN1
PDK3	EFHD2	GKN1
EDNRA	EFHD2	GKN1
TF65	EFHD2	GKN1
KAP0	EFHD2	GKN1
PPIF	EFHD2	GKN1
RL15	EFHD2	GKN1
KCNH2	EFHD2	GKN1
PDE4C	EFHD2	GKN1
ABCC8	EFHD2	GKN1
J3KPA4	EFHD2	GKN1
HDAC8	EFHD2	GKN1
GBRD	EFHD2	GKN1
CCKN	EFHD2	GKN1
ADCY5	EFHD2	GKN1
ATPA	EFHD2	GKN1
ATPG	EFHD2	GKN1
CAC1G	EFHD2	GKN1
LDHB	EFHD2	GKN1
JUN	EFHD2	GKN1
CSF1R	EFHD2	GKN1
UD19	EFHD2	GKN1
ATF6A	EFHD2	GKN1
RL19	EFHD2	GKN1
ST17B	EFHD2	GKN1
ABL1	EFHD2	GKN1
PHOP1	EFHD2	GKN1
SC6A4	EFHD2	GKN1
S22A6	EFHD2	GKN1
GRIK2	EFHD2	GKN1
ACM3	EFHD2	GKN1
RYR1	EFHD2	GKN1
S23IP	EFHD2	GKN1
CRBN	EFHD2	GKN1
MUTA	EFHD2	GKN1
ARGI1	EFHD2	GKN1
AA3R	EFHD2	GKN1
GBRA5	EFHD2	GKN1
CAH6	EFHD2	GKN1
FAK1	EFHD2	GKN1
SCNND	EFHD2	GKN1
CASP8	EFHD2	GKN1
SYRC	EFHD2	GKN1
CP3A4	EFHD2	GKN1
A4	EFHD2	GKN1
MRP1	EFHD2	GKN1
KCNN4	EFHD2	GKN1
PDE7A	EFHD2	GKN1
SCN4A	EFHD2	GKN1
CACB1	EFHD2	GKN1
DHI1	EFHD2	GKN1
PDIA1	EFHD2	GKN1
LRP2	EFHD2	GKN1
ESR2	EFHD2	GKN1
SCNNB	EFHD2	GKN1
NMDE4	EFHD2	GKN1
TY3H	EFHD2	GKN1
SOAT1	EFHD2	GKN1
NMD3A	EFHD2	GKN1
ASM	EFHD2	GKN1
S12A1	EFHD2	GKN1
CP1A1	EFHD2	GKN1
INSR2	EFHD2	GKN1
NCOA1	EFHD2	GKN1
