source	destinations_disconnected_to
EGFR	CRLF3	TDRKH
NFKB1	CRLF3	TDRKH
PGFRB	CRLF3	TDRKH
ANT3	CRLF3	TDRKH
GTR1	CRLF3	TDRKH
MK10	CRLF3	TDRKH
CAMLG	CRLF3	TDRKH
HEMH	CRLF3	TDRKH
MTRR	CRLF3	TDRKH
NQO1	CRLF3	TDRKH
ACH10	CRLF3	TDRKH
FMO4	CRLF3	TDRKH
DRD5	CRLF3	TDRKH
TRY1	CRLF3	TDRKH
SCNAA	CRLF3	TDRKH
GBRG3	CRLF3	TDRKH
PDE8B	CRLF3	TDRKH
KCNA2	CRLF3	TDRKH
IFNA2	CRLF3	TDRKH
AA1R	CRLF3	TDRKH
MAPK2	CRLF3	TDRKH
PK3CD	CRLF3	TDRKH
HRH4	CRLF3	TDRKH
GBRB1	CRLF3	TDRKH
HCN2	CRLF3	TDRKH
RL26L	CRLF3	TDRKH
DMTA2	CRLF3	TDRKH
6PGD	CRLF3	TDRKH
GRP78	CRLF3	TDRKH
PSIP1	CRLF3	TDRKH
AT1A4	CRLF3	TDRKH
GLR	CRLF3	TDRKH
OPRK	CRLF3	TDRKH
ATPB	CRLF3	TDRKH
STMN4	CRLF3	TDRKH
CACB2	CRLF3	TDRKH
NMDZ1	CRLF3	TDRKH
SC6A3	CRLF3	TDRKH
ST2B1	CRLF3	TDRKH
TBG1	CRLF3	TDRKH
ESR1	CRLF3	TDRKH
CREB1	CRLF3	TDRKH
5HT1B	CRLF3	TDRKH
ERBB2	CRLF3	TDRKH
HDAC7	CRLF3	TDRKH
KCC1B	CRLF3	TDRKH
TBD	CRLF3	TDRKH
TOP2B	CRLF3	TDRKH
3BHS1	CRLF3	TDRKH
ATP4A	CRLF3	TDRKH
LOX5	CRLF3	TDRKH
UD3A1	CRLF3	TDRKH
BDNF	CRLF3	TDRKH
GBRA1	CRLF3	TDRKH
FOS	CRLF3	TDRKH
SHBG	CRLF3	TDRKH
ODP2	CRLF3	TDRKH
ABCA1	CRLF3	TDRKH
DYR	CRLF3	TDRKH
P85A	CRLF3	TDRKH
SIR1	CRLF3	TDRKH
MTHR	CRLF3	TDRKH
ADCL2	CRLF3	TDRKH
IBP3	CRLF3	TDRKH
DDR1	CRLF3	TDRKH
CP46A	CRLF3	TDRKH
SCN2A	CRLF3	TDRKH
IL4	CRLF3	TDRKH
NPS	CRLF3	TDRKH
NMDE1	CRLF3	TDRKH
AOFB	CRLF3	TDRKH
RL13A	CRLF3	TDRKH
S22A2	CRLF3	TDRKH
CALY	CRLF3	TDRKH
S12A5	CRLF3	TDRKH
PK3CA	CRLF3	TDRKH
PDE4D	CRLF3	TDRKH
KIF11	CRLF3	TDRKH
NR1I2	CRLF3	TDRKH
NISCH	CRLF3	TDRKH
NFKB2	CRLF3	TDRKH
ITK	CRLF3	TDRKH
PPIA	CRLF3	TDRKH
MMAA	CRLF3	TDRKH
PA24A	CRLF3	TDRKH
HYES	CRLF3	TDRKH
CP2C8	CRLF3	TDRKH
CAC1D	CRLF3	TDRKH
SCNNA	CRLF3	TDRKH
DRD3	CRLF3	TDRKH
IOD1	CRLF3	TDRKH
AAKB1	CRLF3	TDRKH
ARY2	CRLF3	TDRKH
DOPO	CRLF3	TDRKH
PDE3A	CRLF3	TDRKH
TR10B	CRLF3	TDRKH
ADA1B	CRLF3	TDRKH
C9JK77	CRLF3	TDRKH
MYLK3	CRLF3	TDRKH
PDE1B	CRLF3	TDRKH
MYH9	CRLF3	TDRKH
TRI15	CRLF3	TDRKH
HPRT	CRLF3	TDRKH
ADRB2	CRLF3	TDRKH
LIPL	CRLF3	TDRKH
MDR1	CRLF3	TDRKH
5HT1A	CRLF3	TDRKH
CP19A	CRLF3	TDRKH
ARY1	CRLF3	TDRKH
5HT2A	CRLF3	TDRKH
G6PD	CRLF3	TDRKH
PYRD	CRLF3	TDRKH
GBRB2	CRLF3	TDRKH
IKBA	CRLF3	TDRKH
THRB	CRLF3	TDRKH
GPX1	CRLF3	TDRKH
TNNC2	CRLF3	TDRKH
S22AB	CRLF3	TDRKH
PDE5A	CRLF3	TDRKH
TGFB1	CRLF3	TDRKH
TOP2A	CRLF3	TDRKH
RL23	CRLF3	TDRKH
PDK3	CRLF3	TDRKH
EDNRA	CRLF3	TDRKH
TF65	CRLF3	TDRKH
KAP0	CRLF3	TDRKH
PPIF	CRLF3	TDRKH
RL15	CRLF3	TDRKH
KCNH2	CRLF3	TDRKH
PDE4C	CRLF3	TDRKH
