source	dest	edges	cum_dist	avg_dist_per_edge
ACE	FOLR1	2	0.811	0.4055
ACE	JPH3	4	0.672	0.168
ACE	BAG5	5	0.749	0.1498
ACE	TASP1	4	0.538	0.1345
ACE	DPYS	6	0.663	0.1105
ACE	PPARG	3	0.107	0.0356666666666667
ACE	TERF1	5	0.7	0.14
ACE	MINA	4	0.099	0.02475
ACE	FUT5	6	0.346	0.0576666666666667
ACE	CLIC2	8	0.926	0.11575
ACE	MMP1	2	0.093	0.0465
ACE	SHQ1	4	0.609	0.15225
ACE	FZD3	3	0.266	0.0886666666666667
ACE	NELL2	5	0.949	0.1898
ACE	DAPK3	3	0.623	0.207666666666667
ACE	ENAH	5	0.697	0.1394
ACE	U2AF1	4	0.263	0.06575
KAPCA	FOLR1	6	0.511	0.0851666666666667
KAPCA	JPH3	4	0.639	0.15975
KAPCA	BAG5	6	0.706	0.117666666666667
KAPCA	TASP1	5	0.536	0.1072
KAPCA	DPYS	2	0.637	0.3185
KAPCA	PPARG	4	0.105	0.02625
KAPCA	TERF1	3	0.423	0.141
KAPCA	MINA	5	0.097	0.0194
KAPCA	FUT5	7	0.344	0.0491428571428571
KAPCA	CLIC2	4	0.9	0.225
KAPCA	MMP1	3	0.084	0.028
KAPCA	SHQ1	4	0.594	0.1485
KAPCA	FZD3	4	0.362	0.0905
KAPCA	NELL2	5	0.78	0.156
KAPCA	DAPK3	4	0.767	0.19175
KAPCA	ENAH	3	0.598	0.199333333333333
KAPCA	U2AF1	3	0.28	0.0933333333333333
NTKL	FOLR1	6	0.484	0.0806666666666667
NTKL	JPH3	6	0.704	0.117333333333333
NTKL	BAG5	5	0.576	0.1152
NTKL	TASP1	5	0.669	0.1338
NTKL	DPYS	8	0.905	0.113125
NTKL	PPARG	4	0.238	0.0595
NTKL	TERF1	5	0.583	0.1166
NTKL	MINA	5	0.23	0.046
NTKL	FUT5	6	0.473	0.0788333333333333
NTKL	CLIC2	7	1.033	0.147571428571429
NTKL	MMP1	5	0.248	0.0496
NTKL	SHQ1	5	0.706	0.1412
NTKL	FZD3	5	0.495	0.099
NTKL	NELL2	10	0.916	0.0916
NTKL	DAPK3	5	0.756	0.1512
NTKL	ENAH	5	0.421	0.0842
NTKL	U2AF1	6	0.426	0.071
CALM	FOLR1	5	0.372	0.0744
CALM	JPH3	5	0.627	0.1254
CALM	BAG5	4	0.456	0.114
CALM	TASP1	4	0.528	0.132
CALM	DPYS	4	0.639	0.15975
CALM	PPARG	3	0.086	0.0286666666666667
CALM	TERF1	5	0.379	0.0758
CALM	MINA	4	0.089	0.02225
CALM	FUT5	4	0.309	0.07725
CALM	CLIC2	6	0.902	0.150333333333333
CALM	MMP1	3	0.085	0.0283333333333333
CALM	SHQ1	4	0.586	0.1465
CALM	FZD3	2	0.267	0.1335
CALM	NELL2	5	0.914	0.1828
CALM	DAPK3	1	0.499	0.499
CALM	ENAH	4	0.404	0.101
CALM	U2AF1	3	0.243	0.081
ACHA4	FOLR1	5	0.464	0.0928
ACHA4	JPH3	5	0.799	0.1598
ACHA4	BAG5	4	0.547	0.13675
ACHA4	TASP1	5	0.629	0.1258
ACHA4	DPYS	7	0.882	0.126
ACHA4	PPARG	4	0.198	0.0495
ACHA4	TERF1	5	0.593	0.1186
ACHA4	MINA	5	0.19	0.038
ACHA4	FUT5	7	0.437	0.0624285714285714
ACHA4	CLIC2	7	0.965	0.137857142857143
ACHA4	MMP1	3	0.167	0.0556666666666667
ACHA4	SHQ1	6	0.621	0.1035
ACHA4	FZD3	5	0.455	0.091
ACHA4	NELL2	6	0.865	0.144166666666667
ACHA4	DAPK3	5	0.734	0.1468
ACHA4	ENAH	5	0.558	0.1116
ACHA4	U2AF1	5	0.482	0.0964
ANXA2	FOLR1	4	0.482	0.1205
ANXA2	JPH3	3	0.562	0.187333333333333
ANXA2	BAG5	4	0.665	0.16625
ANXA2	TASP1	4	0.565	0.14125
ANXA2	DPYS	7	0.746	0.106571428571429
ANXA2	PPARG	3	0.134	0.0446666666666667
ANXA2	TERF1	5	0.564	0.1128
ANXA2	MINA	4	0.126	0.0315
ANXA2	FUT5	4	0.321	0.08025
ANXA2	CLIC2	6	0.897	0.1495
ANXA2	MMP1	3	0.125	0.0416666666666667
ANXA2	SHQ1	3	0.643	0.214333333333333
ANXA2	FZD3	5	0.329	0.0658
ANXA2	NELL2	7	0.777	0.111
ANXA2	DAPK3	3	0.692	0.230666666666667
ANXA2	ENAH	3	0.509	0.169666666666667
ANXA2	U2AF1	4	0.514	0.1285
AURKB	FOLR1	6	0.494	0.0823333333333333
AURKB	JPH3	6	0.662	0.110333333333333
AURKB	BAG5	8	0.665	0.083125
AURKB	TASP1	6	0.567	0.0945
AURKB	DPYS	4	0.877	0.21925
AURKB	PPARG	5	0.136	0.0272
AURKB	TERF1	6	0.414	0.069
AURKB	MINA	4	0.083	0.02075
AURKB	FUT5	6	0.322	0.0536666666666667
AURKB	CLIC2	5	0.835	0.167
AURKB	MMP1	4	0.14	0.035
AURKB	SHQ1	4	0.582	0.1455
AURKB	FZD3	4	0.352	0.088
AURKB	NELL2	6	0.776	0.129333333333333
AURKB	DAPK3	6	0.726	0.121
AURKB	ENAH	3	0.394	0.131333333333333
AURKB	U2AF1	2	0.173	0.0865
GNAT3	FOLR1	5	0.513	0.1026
GNAT3	JPH3	7	0.898	0.128285714285714
GNAT3	BAG5	4	0.526	0.1315
GNAT3	TASP1	5	0.726	0.1452
GNAT3	DPYS	6	0.724	0.120666666666667
GNAT3	PPARG	4	0.295	0.07375
GNAT3	TERF1	6	0.86	0.143333333333333
GNAT3	MINA	4	0.218	0.0545
GNAT3	FUT5	4	0.433	0.10825
GNAT3	CLIC2	8	0.987	0.123375
GNAT3	MMP1	4	0.202	0.0505
GNAT3	SHQ1	6	0.701	0.116833333333333
GNAT3	FZD3	2	0.28	0.14
GNAT3	NELL2	6	0.854	0.142333333333333
GNAT3	DAPK3	5	0.811	0.1622
GNAT3	ENAH	4	0.819	0.20475
GNAT3	U2AF1	4	0.324	0.081
CA2D1	FOLR1	6	0.754	0.125666666666667
CA2D1	JPH3	5	0.916	0.1832
CA2D1	BAG5	6	0.462	0.077
CA2D1	TASP1	6	0.89	0.148333333333333
CA2D1	DPYS	9	0.982	0.109111111111111
CA2D1	PPARG	5	0.459	0.0918
CA2D1	TERF1	3	0.44	0.146666666666667
CA2D1	MINA	7	0.396	0.0565714285714286
CA2D1	FUT5	5	0.487	0.0974
CA2D1	CLIC2	10	1.184	0.1184
CA2D1	MMP1	6	0.386	0.0643333333333333
CA2D1	SHQ1	5	0.93	0.186
CA2D1	FZD3	6	0.508	0.0846666666666667
CA2D1	NELL2	7	0.92	0.131428571428571
CA2D1	DAPK3	4	0.944	0.236
CA2D1	ENAH	6	0.624	0.104
CA2D1	U2AF1	5	0.715	0.143
CAH4	FOLR1	6	1.099	0.183166666666667
CAH4	JPH3	5	1.126	0.2252
CAH4	BAG5	5	0.825	0.165
CAH4	TASP1	10	1.444	0.1444
CAH4	DPYS	6	0.818	0.136333333333333
CAH4	PPARG	5	0.78	0.156
CAH4	TERF1	8	0.9	0.1125
CAH4	MINA	7	0.772	0.110285714285714
CAH4	FUT5	5	0.93	0.186
CAH4	CLIC2	7	1.297	0.185285714285714
CAH4	MMP1	7	0.756	0.108
CAH4	SHQ1	8	0.925	0.115625
CAH4	FZD3	5	0.804	0.1608
CAH4	NELL2	5	0.973	0.1946
CAH4	DAPK3	4	0.838	0.2095
CAH4	ENAH	5	0.751	0.1502
CAH4	U2AF1	8	0.982	0.12275
AK1C1	FOLR1	6	0.891	0.1485
AK1C1	JPH3	4	1.007	0.25175
AK1C1	BAG5	8	0.847	0.105875
AK1C1	TASP1	6	0.894	0.149
AK1C1	DPYS	6	0.996	0.166
AK1C1	PPARG	5	0.463	0.0926
AK1C1	TERF1	6	0.794	0.132333333333333
AK1C1	MINA	5	0.285	0.057
AK1C1	FUT5	5	0.5	0.1
AK1C1	CLIC2	6	0.936	0.156
AK1C1	MMP1	5	0.269	0.0538
AK1C1	SHQ1	7	0.895	0.127857142857143
AK1C1	FZD3	4	0.583	0.14575
AK1C1	NELL2	7	0.863	0.123285714285714
AK1C1	DAPK3	6	0.729	0.1215
AK1C1	ENAH	6	0.628	0.104666666666667
AK1C1	U2AF1	6	0.976	0.162666666666667
ROCK1	FOLR1	6	0.599	0.0998333333333333
ROCK1	JPH3	5	0.938	0.1876
ROCK1	BAG5	5	0.535	0.107
ROCK1	TASP1	5	0.779	0.1558
ROCK1	DPYS	4	0.942	0.2355
ROCK1	PPARG	4	0.348	0.087
ROCK1	TERF1	6	0.86	0.143333333333333
ROCK1	MINA	4	0.202	0.0505
ROCK1	FUT5	6	0.409	0.0681666666666667
ROCK1	CLIC2	6	1.013	0.168833333333333
ROCK1	MMP1	6	0.248	0.0413333333333333
ROCK1	SHQ1	6	0.994	0.165666666666667
ROCK1	FZD3	6	0.354	0.059
ROCK1	NELL2	7	0.921	0.131571428571429
ROCK1	DAPK3	3	0.655	0.218333333333333
ROCK1	ENAH	2	0.52	0.26
ROCK1	U2AF1	6	0.812	0.135333333333333
CHLE	FOLR1	4	0.463	0.11575
CHLE	JPH3	4	0.724	0.181
CHLE	BAG5	4	0.767	0.19175
CHLE	TASP1	4	0.546	0.1365
CHLE	DPYS	4	0.745	0.18625
CHLE	PPARG	3	0.115	0.0383333333333333
CHLE	TERF1	4	0.442	0.1105
CHLE	MINA	4	0.107	0.02675
CHLE	FUT5	3	0.351	0.117
CHLE	CLIC2	7	0.904	0.129142857142857
CHLE	MMP1	3	0.106	0.0353333333333333
CHLE	SHQ1	5	0.765	0.153
CHLE	FZD3	6	0.232	0.0386666666666667
CHLE	NELL2	6	0.796	0.132666666666667
CHLE	DAPK3	6	0.415	0.0691666666666667
CHLE	ENAH	4	0.28	0.07
CHLE	U2AF1	6	0.924	0.154
J3QK85	FOLR1	4	0.385	0.09625
J3QK85	JPH3	4	0.587	0.14675
J3QK85	BAG5	4	0.53	0.1325
J3QK85	TASP1	4	0.598	0.1495
J3QK85	DPYS	7	0.818	0.116857142857143
J3QK85	PPARG	2	0.161	0.0805
J3QK85	TERF1	6	0.536	0.0893333333333333
J3QK85	MINA	5	0.133	0.0266
J3QK85	FUT5	4	0.288	0.072
J3QK85	CLIC2	6	0.959	0.159833333333333
J3QK85	MMP1	4	0.123	0.03075
J3QK85	SHQ1	4	0.638	0.1595
J3QK85	FZD3	5	0.36	0.072
J3QK85	NELL2	4	0.927	0.23175
J3QK85	DAPK3	4	0.704	0.176
J3QK85	ENAH	5	0.483	0.0966
J3QK85	U2AF1	5	0.418	0.0836
ZAP70	FOLR1	5	0.318	0.0636
ZAP70	JPH3	6	0.707	0.117833333333333
ZAP70	BAG5	4	0.727	0.18175
ZAP70	TASP1	5	0.531	0.1062
ZAP70	DPYS	8	0.998	0.12475
ZAP70	PPARG	4	0.1	0.025
ZAP70	TERF1	3	0.733	0.244333333333333
ZAP70	MINA	3	0.075	0.025
ZAP70	FUT5	4	0.271	0.06775
ZAP70	CLIC2	10	0.892	0.0892
ZAP70	MMP1	6	0.094	0.0156666666666667
ZAP70	SHQ1	6	0.79	0.131666666666667
ZAP70	FZD3	3	0.302	0.100666666666667
ZAP70	NELL2	5	0.86	0.172
ZAP70	DAPK3	5	0.908	0.1816
ZAP70	ENAH	3	0.571	0.190333333333333
ZAP70	U2AF1	4	0.511	0.12775
UD14	FOLR1	7	0.596	0.0851428571428571
UD14	JPH3	7	0.816	0.116571428571429
UD14	BAG5	6	0.688	0.114666666666667
UD14	TASP1	6	0.714	0.119
UD14	DPYS	6	0.498	0.083
UD14	PPARG	5	0.283	0.0566
UD14	TERF1	6	0.695	0.115833333333333
UD14	MINA	4	0.175	0.04375
UD14	FUT5	4	0.39	0.0975
UD14	CLIC2	4	0.698	0.1745
UD14	MMP1	4	0.159	0.03975
UD14	SHQ1	6	0.818	0.136333333333333
UD14	FZD3	4	0.516	0.129
UD14	NELL2	6	0.844	0.140666666666667
UD14	DAPK3	6	0.868	0.144666666666667
UD14	ENAH	6	0.533	0.0888333333333333
UD14	U2AF1	7	0.538	0.0768571428571429
S12A2	FOLR1	5	0.516	0.1032
S12A2	JPH3	5	0.853	0.1706
S12A2	BAG5	4	0.599	0.14975
S12A2	TASP1	5	0.681	0.1362
S12A2	DPYS	7	0.934	0.133428571428571
S12A2	PPARG	4	0.25	0.0625
S12A2	TERF1	6	0.652	0.108666666666667
S12A2	MINA	5	0.242	0.0484
S12A2	FUT5	7	0.489	0.0698571428571429
S12A2	CLIC2	7	1.017	0.145285714285714
S12A2	MMP1	3	0.219	0.073
S12A2	SHQ1	6	0.673	0.112166666666667
S12A2	FZD3	5	0.507	0.1014
S12A2	NELL2	5	0.909	0.1818
S12A2	DAPK3	5	0.786	0.1572
S12A2	ENAH	5	0.61	0.122
S12A2	U2AF1	5	0.534	0.1068
EST1A	FOLR1	7	0.708	0.101142857142857
EST1A	JPH3	5	1	0.2
EST1A	BAG5	5	0.582	0.1164
EST1A	TASP1	6	0.876	0.146
EST1A	DPYS	4	0.534	0.1335
EST1A	PPARG	4	0.416	0.104
EST1A	TERF1	7	0.937	0.133857142857143
EST1A	MINA	4	0.06	0.015
EST1A	FUT5	4	0.418	0.1045
EST1A	CLIC2	6	0.898	0.149666666666667
EST1A	MMP1	4	0.187	0.04675
EST1A	SHQ1	2	0.195	0.0975
EST1A	FZD3	6	0.212	0.0353333333333333
EST1A	NELL2	8	0.868	0.1085
EST1A	DAPK3	5	0.817	0.1634
EST1A	ENAH	6	0.61	0.101666666666667
EST1A	U2AF1	6	0.97	0.161666666666667
VKOR1	FOLR1	7	0.846	0.120857142857143
VKOR1	JPH3	7	1.066	0.152285714285714
VKOR1	BAG5	6	0.938	0.156333333333333
VKOR1	TASP1	6	1.031	0.171833333333333
VKOR1	DPYS	6	0.748	0.124666666666667
VKOR1	PPARG	7	0.6	0.0857142857142857
VKOR1	TERF1	6	0.945	0.1575
VKOR1	MINA	6	0.539	0.0898333333333333
VKOR1	FUT5	4	0.592	0.148
VKOR1	CLIC2	6	1.084	0.180666666666667
VKOR1	MMP1	3	0.523	0.174333333333333
VKOR1	SHQ1	7	1	0.142857142857143
VKOR1	FZD3	8	0.691	0.086375
VKOR1	NELL2	8	0.978	0.12225
VKOR1	DAPK3	6	0.998	0.166333333333333
