source	dest	edges	cum_dist	avg_dist_per_edge
CUBN	JPH3	6	1.027	0.171166666666667
CUBN	CDHR1	6	0.81	0.135
CUBN	APOL2	5	0.922	0.1844
CUBN	KLK5	3	0.638	0.212666666666667
CUBN	CYR61	4	0.637	0.15925
CUBN	ALX1	5	0.928	0.1856
CUBN	SNX27	4	0.942	0.2355
CUBN	PTPRG	6	0.726	0.121
CUBN	LAGE3	5	0.997	0.1994
CUBN	RBM22	6	0.988	0.164666666666667
CUBN	ASXL1	5	0.633	0.1266
CUBN	VGLL3	6	0.854	0.142333333333333
CUBN	SSX1	7	1.328	0.189714285714286
CUBN	ACLY	5	0.728	0.1456
CUBN	BTK	4	0.768	0.192
THA	SFPQ	3	0.173	0.0576666666666667
THA	JPH3	4	0.573	0.14325
THA	CDHR1	7	0.596	0.0851428571428571
THA	APOL2	5	0.433	0.0866
THA	KLK5	5	0.525	0.105
THA	CYR61	5	0.423	0.0846
THA	ALX1	4	0.431	0.10775
THA	SNX27	5	0.879	0.1758
THA	PTPRG	5	0.546	0.1092
THA	LAGE3	6	0.902	0.150333333333333
THA	RBM22	5	0.54	0.108
THA	ASXL1	5	0.144	0.0288
THA	VGLL3	5	0.362	0.0724
THA	SSX1	7	0.925	0.132142857142857
THA	ACLY	5	0.239	0.0478
THA	BTK	4	0.582	0.1455
TBB5	SFPQ	4	0.635	0.15875
TBB5	JPH3	5	1.025	0.205
TBB5	CDHR1	6	0.87	0.145
TBB5	APOL2	4	0.752	0.188
TBB5	KLK5	5	0.886	0.1772
TBB5	CYR61	4	0.743	0.18575
TBB5	ALX1	2	0.584	0.292
TBB5	SNX27	5	0.988	0.1976
TBB5	PTPRG	2	0.824	0.412
TBB5	LAGE3	6	0.93	0.155
TBB5	RBM22	6	0.884	0.147333333333333
TBB5	ASXL1	4	0.463	0.11575
TBB5	VGLL3	5	0.684	0.1368
TBB5	SSX1	6	1.14	0.19
TBB5	ACLY	4	0.558	0.1395
TBB5	BTK	4	0.941	0.23525
CATA	SFPQ	6	0.462	0.077
CATA	JPH3	3	0.909	0.303
CATA	CDHR1	7	0.561	0.0801428571428572
CATA	APOL2	6	0.673	0.112166666666667
CATA	KLK5	4	0.805	0.20125
CATA	CYR61	5	0.388	0.0776
CATA	ALX1	6	0.679	0.113166666666667
CATA	SNX27	5	0.693	0.1386
CATA	PTPRG	2	0.706	0.353
CATA	LAGE3	3	0.914	0.304666666666667
CATA	RBM22	8	0.829	0.103625
CATA	ASXL1	6	0.384	0.064
CATA	VGLL3	7	0.605	0.0864285714285714
CATA	SSX1	8	1.079	0.134875
CATA	ACLY	2	0.409	0.2045
CATA	BTK	4	0.772	0.193
RL3	SFPQ	3	0.51	0.17
RL3	JPH3	4	0.847	0.21175
RL3	CDHR1	5	0.573	0.1146
RL3	APOL2	4	0.735	0.18375
RL3	KLK5	5	0.869	0.1738
RL3	CYR61	5	0.897	0.1794
RL3	ALX1	4	0.741	0.18525
RL3	SNX27	4	0.636	0.159
RL3	PTPRG	4	0.6	0.15
RL3	LAGE3	2	0.611	0.3055
RL3	RBM22	2	0.434	0.217
RL3	ASXL1	4	0.446	0.1115
RL3	VGLL3	6	0.45	0.075
RL3	SSX1	4	0.953	0.23825
RL3	ACLY	4	0.441	0.11025
RL3	BTK	4	0.931	0.23275
PA2GE	SFPQ	5	0.32	0.064
PA2GE	JPH3	4	0.56	0.14
PA2GE	CDHR1	5	0.408	0.0816
PA2GE	APOL2	4	0.504	0.126
PA2GE	KLK5	4	0.582	0.1455
PA2GE	CYR61	3	0.235	0.0783333333333333
PA2GE	ALX1	4	0.51	0.1275
PA2GE	SNX27	4	0.551	0.13775
PA2GE	PTPRG	4	0.635	0.15875
PA2GE	LAGE3	5	0.986	0.1972
PA2GE	RBM22	7	0.687	0.0981428571428572
PA2GE	ASXL1	4	0.215	0.05375
PA2GE	VGLL3	5	0.436	0.0872
PA2GE	SSX1	6	0.932	0.155333333333333
PA2GE	ACLY	4	0.31	0.0775
PA2GE	BTK	6	0.962	0.160333333333333
HRH2	SFPQ	6	0.787	0.131166666666667
HRH2	JPH3	4	0.773	0.19325
HRH2	CDHR1	6	0.875	0.145833333333333
HRH2	APOL2	5	0.971	0.1942
HRH2	KLK5	3	0.608	0.202666666666667
HRH2	CYR61	4	0.702	0.1755
HRH2	ALX1	3	0.565	0.188333333333333
HRH2	SNX27	6	0.884	0.147333333333333
HRH2	PTPRG	4	0.677	0.16925
HRH2	LAGE3	4	0.683	0.17075
HRH2	RBM22	4	0.886	0.2215
HRH2	ASXL1	3	0.432	0.144
HRH2	VGLL3	5	0.477	0.0954
HRH2	SSX1	5	1.085	0.217
HRH2	ACLY	5	0.415	0.083
HRH2	BTK	5	0.842	0.1684
ATTY	SFPQ	3	0.285	0.095
ATTY	JPH3	3	0.594	0.198
ATTY	CDHR1	5	0.492	0.0984
ATTY	APOL2	4	0.454	0.1135
ATTY	KLK5	4	0.546	0.1365
ATTY	CYR61	3	0.319	0.106333333333333
ATTY	ALX1	3	0.452	0.150666666666667
ATTY	SNX27	4	0.635	0.15875
ATTY	PTPRG	4	0.567	0.14175
ATTY	LAGE3	6	0.935	0.155833333333333
ATTY	RBM22	5	0.652	0.1304
ATTY	ASXL1	4	0.165	0.04125
ATTY	VGLL3	5	0.386	0.0772
ATTY	SSX1	6	0.946	0.157666666666667
ATTY	ACLY	2	0.222	0.111
ATTY	BTK	4	0.615	0.15375
S29A2	SFPQ	7	0.997	0.142428571428571
S29A2	JPH3	5	0.973	0.1946
S29A2	CDHR1	6	0.757	0.126166666666667
S29A2	APOL2	3	0.717	0.239
S29A2	KLK5	7	0.999	0.142714285714286
S29A2	CYR61	5	0.953	0.1906
S29A2	ALX1	4	0.977	0.24425
S29A2	SNX27	8	0.945	0.118125
S29A2	PTPRG	7	0.904	0.129142857142857
S29A2	LAGE3	6	0.938	0.156333333333333
S29A2	RBM22	7	0.997	0.142428571428571
S29A2	ASXL1	8	0.971	0.121375
S29A2	VGLL3	7	0.886	0.126571428571429
S29A2	SSX1	8	1.504	0.188
S29A2	ACLY	5	0.691	0.1382
S29A2	BTK	5	0.987	0.1974
GBRT	SFPQ	4	0.719	0.17975
GBRT	JPH3	6	1.161	0.1935
GBRT	CDHR1	7	0.971	0.138714285714286
GBRT	APOL2	4	1.037	0.25925
GBRT	KLK5	6	0.99	0.165
GBRT	CYR61	5	0.798	0.1596
GBRT	ALX1	4	1.035	0.25875
GBRT	SNX27	7	1.097	0.156714285714286
GBRT	PTPRG	5	0.98	0.196
GBRT	LAGE3	5	1.001	0.2002
GBRT	RBM22	6	0.973	0.162166666666667
GBRT	ASXL1	5	0.693	0.1386
GBRT	VGLL3	5	0.969	0.1938
GBRT	SSX1	3	1.193	0.397666666666667
GBRT	ACLY	6	0.824	0.137333333333333
GBRT	BTK	3	0.885	0.295
ACHA3	SFPQ	5	0.438	0.0876
ACHA3	JPH3	5	0.853	0.1706
ACHA3	CDHR1	6	0.517	0.0861666666666667
ACHA3	APOL2	6	0.628	0.104666666666667
ACHA3	KLK5	4	0.688	0.172
ACHA3	CYR61	4	0.344	0.086
ACHA3	ALX1	6	0.634	0.105666666666667
ACHA3	SNX27	4	0.705	0.17625
ACHA3	PTPRG	4	0.746	0.1865
ACHA3	LAGE3	4	0.609	0.15225
ACHA3	RBM22	7	0.805	0.115
ACHA3	ASXL1	6	0.339	0.0565
ACHA3	VGLL3	6	0.557	0.0928333333333333
ACHA3	SSX1	6	1.028	0.171333333333333
ACHA3	ACLY	6	0.434	0.0723333333333333
ACHA3	BTK	2	0.289	0.1445
CDK6	SFPQ	2	0.13	0.065
CDK6	JPH3	3	0.592	0.197333333333333
CDK6	CDHR1	5	0.386	0.0772
CDK6	APOL2	4	0.376	0.094
CDK6	KLK5	5	0.51	0.102
CDK6	CYR61	3	0.213	0.071
CDK6	ALX1	4	0.382	0.0955
CDK6	SNX27	4	0.759	0.18975
